,month,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std
0,3,2.5724885246970435,0.3845517518513063,3.2649573412808506,0.44066594223343786,0.8075616468082775,0.05069696598325196
1,6,3.731666933406483,0.9620211856109488,4.756149855527011,1.0235180501357348,0.6734007962725379,0.17020553246332842
2,9,5.1661601500077685,1.3828954243424576,6.2931622158397325,1.6669007884878295,0.49743188240311365,0.2896838999551508
3,12,6.389769554138184,1.9695766742331593,7.896036711606112,2.2284811088816707,0.3081669969992204,0.48005061437596175
