Run;n_layer;n_units;learning_rate;activation;criterion;decroissant;optimizer;Smoothed;Value;Step
T1-T3_T5/trial_33;1;1 024;0,0035;tanh;Huber;1;Adagrad;0,7415;0,7415;450
T1-T3_T5/trial_34;2;1 024;0,0064;sigmoid;Huber;1;Adagrad;0,6445;0,6445;370
T1-T3_T5/trial_35;1;1 024;0,0043;tanh;MSE;1;Adam;0,6396;0,6396;690
T1-T3_T5/trial_36;1;1 024;0,0011;tanh;Huber;1;Adagrad;0,7075;0,7075;630
T1-T3_T5/trial_37;2;1 024;0,0011;tanh;MSE;0;Adagrad;0,7143;0,7143;800
T1-T3_T5/trial_38;1;1 024;0,0009;tanh;Huber;1;Adam;0,7171;0,7171;360
T1-T3_T5/trial_39;1;1 024;0,0005;sigmoid;Huber;1;Adam;0,7033;0,7033;490
T1-T3_T5/trial_4;1;256;0,0049;ReLU;MSE;0;RMSprop;0,7303;0,7303;560
T1-T3_T5/trial_40;1;1 024;0,0002;sigmoid;MSE;0;Adam;0,7308;0,7308;940
T1-T3_T5/trial_41;1;1 024;0,0004;sigmoid;Huber;1;Adam;0,7151;0,7151;420
T1-T3_T5/trial_42;1;1 024;0,0004;sigmoid;Huber;1;Adam;0,7332;0,7332;510
T1-T3_T5/trial_43;1;1 024;0,0002;sigmoid;Huber;1;Adam;0,7263;0,7263;890
T1-T3_T5/trial_44;1;1 024;0,0001;sigmoid;Huber;1;Adam;0,7119;0,7119;1 720
T1-T3_T5/trial_45;1;256;0,0002;sigmoid;Huber;1;Adam;0,701;0,701;1 550
T1-T3_T5/trial_46;5;64;0,0001;sigmoid;Huber;1;Adam;-7,3914;-7,3914;2 000
T1-T3_T5/trial_47;2;1 024;0,0004;sigmoid;Huber;0;Adam;-0,0153;-0,0153;160
T1-T3_T5/trial_48;1;1 024;0;sigmoid;Huber;1;Adam;0,7372;0,7372;4 040
T1-T3_T5/trial_49;1;1 024;0;sigmoid;Huber;1;Adam;0,7347;0,7347;5 320
T1-T3_T5/trial_5;5;256;0;tanh;MAE;1;Adam;-6,7446;-6,7446;8 000
T1-T3_T5/trial_6;2;1 024;0,0091;tanh;Huber;1;Adagrad;0,6548;0,6548;1 840
T1-T3_T5/trial_7;2;1 024;0,0003;tanh;MAE;1;Adagrad;0,6633;0,6633;8 000
T1-T3_T5/trial_8;4;64;0,0022;ReLU;MAE;0;RMSprop;0,7035;0,7035;420
T1-T3_T5/trial_9;2;32;0;ReLU;Huber;0;Adagrad;-5,8218;-5,8218;4 000
T2-T3-T4_T5/trial_1;5;1 024;0;sigmoid;MSE;0;Adam;-0,02;-0,02;3 040
T2-T3-T4_T5/trial_11;2;64;0,0084;ReLU;MAE;1;Adagrad;0,8685;0,8685;270
T2-T3-T4_T5/trial_12;2;64;0;ReLU;Huber;1;Adagrad;-5,3737;-5,3737;2 000
T2-T3-T4_T5/trial_13;4;64;0,0025;ReLU;Huber;1;Adagrad;0,8814;0,8814;620
T2-T3-T4_T5/trial_14;4;64;0,0028;ReLU;MAE;1;Adagrad;0,8789;0,8789;480
T2-T3-T4_T5/trial_15;4;64;0,0021;ReLU;MAE;1;Adagrad;0,8703;0,8703;320
T2-T3-T4_T5/trial_16;4;64;0,0035;ReLU;Huber;1;RMSprop;0,8319;0,8319;200
T2-T3-T4_T5/trial_18;5;1 024;0,0038;ReLU;Huber;1;Adagrad;0,7637;0,7637;585
T2-T3-T4_T5/trial_2;1;128;0,0003;sigmoid;MAE;0;Adagrad;-5,2793;-5,2793;4 000
T2-T3-T4_T5/trial_20;5;64;0,0043;ReLU;Huber;1;Adagrad;-8,6099;-8,6099;2 000
T2-T3-T4_T5/trial_22;4;64;0,0013;ReLU;Huber;1;RMSprop;0,8305;0,8305;220
T2-T3-T4_T5/trial_23;4;64;0,0011;ReLU;Huber;1;RMSprop;0,8365;0,8365;170
T2-T3-T4_T5/trial_24;3;64;0,0029;ReLU;Huber;1;RMSprop;0,6007;0,6007;120
T2-T3-T4_T5/trial_25;5;64;0,0005;ReLU;MAE;1;RMSprop;0,8752;0,8752;550
T2-T3-T4_T5/trial_29;5;512;0,0001;tanh;Huber;1;Adagrad;-7,2806;-7,2806;7 800
T2-T3-T4_T5/trial_3;2;256;0,0067;sigmoid;MSE;0;Adagrad;0,7291;0,7291;975
T2-T3-T4_T5/trial_30;3;512;0,0001;tanh;Huber;1;Adagrad;-5,0587;-5,0587;7 800
T2-T3-T4_T5/trial_31;4;512;0,0014;ReLU;Huber;1;Adagrad;0,8076;0,8076;507
T2-T3-T4_T5/trial_32;4;512;0,0005;ReLU;Huber;1;Adam;0,8731;0,8731;320
T2-T3-T4_T5/trial_33;5;512;0,0005;ReLU;Huber;1;Adam;0,8808;0,8808;380
T2-T3-T4_T5/trial_34;5;512;0,0003;sigmoid;MSE;1;Adam;-0,1431;-0,1431;4 000
T2-T3-T4_T5/trial_35;5;1 024;0,0003;ReLU;Huber;1;Adam;0,8483;0,8483;260
T2-T3-T4_T5/trial_36;5;128;0,0009;sigmoid;Huber;1;Adam;-0,03;-0,03;4 000
T2-T3-T4_T5/trial_37;5;512;0;ReLU;MSE;0;Adam;0,8855;0,8855;1 365
T2-T3-T4_T5/trial_38;4;256;0,0048;sigmoid;Huber;1;Adagrad;-1,7319;-1,7319;4 000
