Run,n_layer,n_units,learning_rate,activation,criterion,decroissant,optimizer,Smoothed,Value,Step,dataset,trial
T2_T4/trial_6,1,1 024,0,sigmoid,Huber,0,Adagrad,"-10,0768",-10.0768,2 800,T2_T4,trial_6
T2_T4/trial_38,4,256,"0,0007",sigmoid,Huber,1,Adagrad,"-9,9922",-9.9922,11 000,T2_T4,trial_38
T2_T4/trial_4,4,256,0,tanh,Huber,0,Adagrad,"-9,9103",-9.9103,2 800,T2_T4,trial_4
T2_T4/trial_29,5,512,0,sigmoid,MSE,1,RMSprop,"-7,4657",-7.4657,5 600,T2_T4,trial_29
T2_T5/trial_2,3,64,"0,0002",sigmoid,MSE,1,Adagrad,"-8,3681",-8.3681,16 000,T2_T5,trial_2
T2_T5/trial_4,5,64,"0,0002",ReLU,MSE,1,Adagrad,"-7,9009",-7.9009,4 000,T2_T5,trial_4
T2_T5/trial_29,1,128,0,tanh,Huber,1,Adagrad,"-7,2388",-7.2388,2 000,T2_T5,trial_29
T2_T5/trial_37,3,64,"0,0001",ReLU,Huber,1,Adagrad,"-6,6174",-6.6174,4 000,T2_T5,trial_37
T2_T5/trial_7,3,128,0,ReLU,MAE,0,Adagrad,"-6,0256",-6.0256,16 000,T2_T5,trial_7
T3-T4_T5/trial_28,2,32,"0,0002",sigmoid,MAE,1,Adagrad,"-11,2627",-11.2627,15 600,T3-T4_T5,trial_28
T3-T4_T5/trial_38,1,32,"0,0004",sigmoid,MSE,1,Adagrad,"-9,1623",-9.1623,15 600,T3-T4_T5,trial_38
T3-T4_T5/trial_35,1,32,"0,0002",tanh,Huber,1,Adagrad,"-8,2511",-8.2511,15 600,T3-T4_T5,trial_35
T3-T4_T5/trial_30,2,32,"0,0001",tanh,MSE,1,Adagrad,"-7,7672",-7.7672,7 800,T3-T4_T5,trial_30
T3-T4_T5/trial_40,2,32,"0,0002",tanh,Huber,1,Adagrad,"-7,3594",-7.3594,7 800,T3-T4_T5,trial_40
T3_T4/trial_38,3,64,"0,0001",sigmoid,MAE,0,Adagrad,"-10,0758",-10.0758,5 600,T3_T4,trial_38
T3_T4/trial_28,1,512,0,sigmoid,MAE,0,Adagrad,"-9,3012",-9.3012,2 800,T3_T4,trial_28
T3_T4/trial_36,1,32,"0,0019",sigmoid,Huber,0,Adagrad,"-7,4902",-7.4902,2 800,T3_T4,trial_36
T3_T4/trial_19,1,128,"0,0001",tanh,MSE,0,Adagrad,"-6,6036",-6.6036,11 000,T3_T4,trial_19
T3_T4/trial_16,3,32,"0,0013",tanh,Huber,0,Adagrad,"-3,0071",-3.0071,21 800,T3_T4,trial_16
T3_T5/trial_3,3,128,0,tanh,MSE,1,Adagrad,"-8,5562",-8.5562,8 000,T3_T5,trial_3
T3_T5/trial_6,3,32,"0,0022",tanh,Huber,1,Adagrad,"-6,1815",-6.1815,16 000,T3_T5,trial_6
T3_T5/trial_49,2,512,0,sigmoid,Huber,1,Adam,"-3,3923",-3.3923,2 000,T3_T5,trial_49
T3_T5/trial_16,2,512,0,sigmoid,MAE,1,Adam,"-2,8984",-2.8984,4 000,T3_T5,trial_16
T3_T5/trial_19,2,512,0,sigmoid,MAE,1,Adam,"-2,6512",-2.6512,2 000,T3_T5,trial_19
T4_T5/trial_0,3,64,0,sigmoid,MAE,1,Adagrad,"-9,8274",-9.8274,15 800,T4_T5,trial_0
T4_T5/trial_30,4,512,0,sigmoid,MAE,1,Adagrad,"-9,1988",-9.1988,8 000,T4_T5,trial_30
T4_T5/trial_44,5,64,0,ReLU,Huber,1,Adam,"-8,8201",-8.8201,8 000,T4_T5,trial_44
T4_T5/trial_16,4,32,"0,0004",ReLU,MSE,1,Adam,"-8,1584",-8.1584,4 000,T4_T5,trial_16
T4_T5/trial_3,5,64,"0,0001",tanh,MAE,0,Adagrad,"-7,3922",-7.3922,8 000,T4_T5,trial_3
