Run,n_layer,n_units,learning_rate,activation,criterion,decroissant,optimizer,Smoothed,Value,Step,dataset,trial
T1_T4/trial_36,3,32,"0,0098",ReLU,Huber,1,Adam,"6,1234",6.1234,560,T1_T4,trial_36
T1_T4/trial_19,2,1 024,"0,0006",ReLU,MAE,1,Adam,"6,1545",6.1545,280,T1_T4,trial_19
T1_T4/trial_43,3,32,"0,0004",ReLU,Huber,1,Adam,"6,1778",6.1778,952,T1_T4,trial_43
T1_T5/trial_24,4,128,"0,0017",ReLU,Huber,1,Adam,"7,0871",7.0871,1 230,T1_T5,trial_24
T1_T5/trial_20,3,128,"0,0025",ReLU,Huber,1,Adam,"7,1349",7.1349,533,T1_T5,trial_20
T1_T5/trial_30,4,1 024,"0,0015",ReLU,MSE,1,Adam,"7,1471",7.1471,287,T1_T5,trial_30
T1_T5/trial_37,3,256,"0,0012",ReLU,Huber,1,Adam,"7,167",7.167,328,T1_T5,trial_37
T1_T5/trial_28,5,128,"0,0049",ReLU,MSE,1,Adam,"7,189",7.189,533,T1_T5,trial_28
T2-T3-T4_T5/trial_37,5,512,0,ReLU,MSE,0,Adam,"3,0962",3.0962,1 365,T2-T3-T4_T5,trial_37
T2-T3-T4_T5/trial_45,5,512,"0,001",ReLU,Huber,1,Adam,"3,1526",3.1526,770,T2-T3-T4_T5,trial_45
T2-T3-T4_T5/trial_41,4,512,"0,0006",ReLU,Huber,1,Adam,"3,1817",3.1817,340,T2-T3-T4_T5,trial_41
T2-T3-T4_T5/trial_26,4,512,"0,0016",ReLU,Huber,1,Adagrad,"3,1917",3.1917,819,T2-T3-T4_T5,trial_26
T2-T3-T4_T5/trial_19,4,64,"0,0002",ReLU,MSE,1,RMSprop,"3,2092",3.2092,680,T2-T3-T4_T5,trial_19
T2-T3_T4/trial_32,3,512,"0,0003",ReLU,Huber,1,Adagrad,"3,0025",3.0025,11 877,T2-T3_T4,trial_32
T2-T3_T4/trial_27,3,512,"0,0001",ReLU,Huber,1,Adagrad,"3,0743",3.0743,19 688,T2-T3_T4,trial_27
T2-T3_T4/trial_28,3,512,"0,0001",ReLU,MSE,1,Adagrad,"3,0881",3.0881,21 400,T2-T3_T4,trial_28
T2-T3_T4/trial_26,4,512,"0,0001",ReLU,Huber,1,Adagrad,"3,1039",3.1039,17 548,T2-T3_T4,trial_26
