Run,n_layer,n_units,learning_rate,activation,criterion,decroissant,optimizer,Smoothed,Value,Step,dataset,trial
T3-T4_T5/trial_43,1,256,"0,0017",ReLU,Huber,1,Adagrad,"2,485",2.485,1 482,T3-T4_T5,trial_43
T3-T4_T5/trial_13,4,128,"0,0069",ReLU,Huber,0,Adam,"2,5509",2.5509,936,T3-T4_T5,trial_13
T3-T4_T5/trial_41,2,256,"0,0009",ReLU,Huber,1,Adagrad,"2,5525",2.5525,1 170,T3-T4_T5,trial_41
T3-T4_T5/trial_23,3,128,"0,0025",ReLU,Huber,0,Adam,"2,5591",2.5591,858,T3-T4_T5,trial_23
T3_T4/trial_20,2,512,"0,0002",ReLU,Huber,0,Adagrad,"2,2733",2.2733,8 175,T3_T4,trial_20
T3_T4/trial_25,2,512,"0,0001",ReLU,Huber,0,Adagrad,"2,2747",2.2747,9 156,T3_T4,trial_25
T3_T4/trial_44,2,256,"0,0006",ReLU,Huber,0,Adagrad,"2,2804",2.2804,4 033,T3_T4,trial_44
T3_T4/trial_21,2,512,"0,0002",ReLU,Huber,0,Adagrad,"2,2821",2.2821,4 905,T3_T4,trial_21
T3_T4/trial_10,2,256,"0,0006",ReLU,Huber,0,Adagrad,"2,2836",2.2836,1 853,T3_T4,trial_10
T3_T5/trial_42,2,1 024,"0,0001",ReLU,Huber,1,Adam,"3,6373",3.6373,550,T3_T5,trial_42
T3_T5/trial_25,2,512,"0,0001",ReLU,Huber,1,Adam,"3,6417",3.6417,510,T3_T5,trial_25
T3_T5/trial_32,4,1 024,"0,0001",ReLU,Huber,0,Adam,"3,644",3.644,260,T3_T5,trial_32
T3_T5/trial_2,2,512,"0,0001",ReLU,Huber,1,Adam,"3,6523",3.6523,610,T3_T5,trial_2
T3_T5/trial_26,2,1 024,"0,0001",ReLU,Huber,0,Adam,"3,6541",3.6541,270,T3_T5,trial_26
T4_T5/trial_41,5,1 024,"0,0001",ReLU,Huber,1,Adam,"2,5042",2.5042,1 840,T4_T5,trial_41
T4_T5/trial_31,4,1 024,"0,0001",ReLU,Huber,1,Adam,"2,5133",2.5133,1 520,T4_T5,trial_31
T4_T5/trial_23,3,128,"0,0002",ReLU,Huber,1,Adam,"2,5161",2.5161,450,T4_T5,trial_23
T4_T5/trial_34,4,1 024,0,ReLU,Huber,1,Adam,"2,5207",2.5207,1 600,T4_T5,trial_34
T4_T5/trial_33,4,1 024,0,ReLU,Huber,1,Adam,"2,5211",2.5211,1 960,T4_T5,trial_33
