dataset,mae_mean,mae_min,mae_max,mae_ci_low,mae_ci_high,rmse_mean,rmse_min,rmse_max,rmse_ci_low,rmse_ci_high,r2_mean,r2_min,r2_max,r2_ci_low,r2_ci_high
Combined_12M,7.337607316970825,2.28518009185791,19.62783432006836,5.983182360722189,8.69203227321946,8.630058569908142,3.0003814697265625,22.6749267578125,7.094239566445464,10.16587757337082,-0.22242164269089698,-5.02584981918335,0.89496910572052,-0.6524242976019083,0.20758101222011432
Combined_15M,3.4980270862579346,2.4651453495025635,8.94257926940918,3.1725972721785336,3.8234569003373355,4.343868541717529,3.1266872882843018,10.341205596923828,3.9854984903175494,4.702238593117509,0.7905756717920304,-0.0941734015941619,0.8996434807777405,0.744914434569064,0.8362369090149967
Combined_18M,4.0968577098846435,2.552576780319214,7.722564220428467,3.7640307752510473,4.42968464451824,4.965799193382264,3.2850053310394287,8.875945091247559,4.600542549432116,5.3310558373324115,0.7255362462997437,0.1757657825946808,0.8873932957649231,0.6824248366405449,0.7686476559589425
Combined_21M,3.660737533569336,2.6346850395202637,10.54685878753662,3.2766689768693773,4.044806090269295,4.666733303070068,3.465118408203125,13.2949857711792,4.2032995319098525,5.130167074230284,0.7735894834995269,-0.5643961429595947,0.8853165507316589,0.7130273788958703,0.8341515881031836
Combined_24M,3.6199596548080444,2.2618541717529297,11.488025665283203,3.1845347170176734,4.055384592598415,4.398255171775818,2.848343849182129,14.298958778381348,3.8790721973179574,4.917438146233679,0.6785344308614731,-1.684894561767578,0.872511088848114,0.575647748251651,0.7814211134712953
Combined_27M,5.627483458518982,3.7423183917999263,9.255498886108398,5.291947735921244,5.963019181116719,6.589458065032959,4.777754306793213,10.482701301574709,6.2605509469832645,6.918365183082654,0.4315095007605851,-0.3981615900993347,0.7106424570083618,0.3717335553648041,0.49128544615636605
Combined_30M,4.029077084064483,1.99575674533844,9.303765296936035,3.5461596737058243,4.511994494423142,4.831166744232178,2.515707015991211,10.070534706115724,4.3019049201610695,5.360428568303286,0.6888869607262313,-0.1639915406703949,0.9263218641281128,0.618912406174347,0.7588615152781157
Combined_33M,9.214130191802978,5.196057319641113,18.92217445373535,8.410494943261572,10.017765440344384,10.641411781311035,6.043249607086182,21.692411422729492,9.719167163045466,11.563656399576605,-0.08665814125910405,-3.120966911315918,0.6768041849136353,-0.29629919146557043,0.12298290894736241
Combined_36M,7.295379409790039,2.9608116149902344,31.08329963684082,5.708379528760522,8.882379290819555,8.774749965667725,4.027998924255371,33.95838928222656,7.073415760603679,10.47608417073177,-0.2136919069290161,-11.286169052124023,0.8271374106407166,-0.8413704182208483,0.4139866043628162
Combined_3M,4.4077211856842045,2.456263780593872,11.893229484558104,3.874781818518346,4.940660552850063,5.456784930229187,3.33182692527771,13.967766761779783,4.864556902057942,6.049012958400432,0.5812782461941243,-1.3774666786193848,0.86286461353302,0.4704590736932799,0.6920974186949687
Combined_6M,3.1753252506256104,2.219529628753662,6.249588966369629,2.9309256188625197,3.419724882388701,3.9849684333801267,3.011559247970581,7.403666496276856,3.7175560099977525,4.252380856762501,0.7814665085077286,0.2989387214183807,0.8779183030128479,0.7496710884178078,0.8132619285976493
Combined_9M,3.4251481437683107,2.364067792892456,30.718904495239254,2.321682180885901,4.52861410665072,4.245999174118042,3.0519654750823975,35.498130798339844,2.9809035946141735,5.511094753621911,0.5293749952316285,-14.27021598815918,0.8818623423576355,-0.06303247252372668,1.1217824629869835
