dataset,trial,mae,rmse,r2
Combined_18M,50,2.6854817867279053,3.37481427192688,0.8813007473945618
Combined_18M,32,3.8088581562042236,4.578355312347412,0.7814320921897888
Combined_18M,35,5.1879706382751465,6.028732776641846,0.6196420192718506
Combined_18M,34,3.183812141418457,4.047985076904297,0.8298349976539612
Combined_18M,33,3.0446317195892334,3.7639217376708984,0.8526044487953186
Combined_18M,20,4.798539161682129,5.6181559562683105,0.6708043813705444
Combined_18M,18,4.411806106567383,5.302422523498535,0.7072722315788269
Combined_18M,27,3.2784554958343506,4.266291618347168,0.8113285303115845
Combined_18M,9,5.180833339691162,6.1673383712768555,0.604529619216919
Combined_18M,11,3.768993616104126,4.6941819190979,0.771979033946991
Combined_18M,7,7.722564220428467,8.875945091247559,0.1757657825946808
Combined_18M,29,2.8362107276916504,3.6097419261932373,0.8646000623703003
Combined_18M,16,4.466386318206787,5.3811869621276855,0.6987853646278381
Combined_18M,42,4.098631381988525,4.822904586791992,0.7568334341049194
Combined_18M,45,3.5670106410980225,4.260860443115234,0.8105058670043945
Combined_18M,6,5.7133684158325195,6.772161483764648,0.5238275527954102
Combined_18M,28,4.2176642417907715,4.975040912628174,0.7420899271965027
Combined_18M,17,3.89741849899292,4.878292560577393,0.7519104480743408
Combined_18M,1,4.889175891876221,5.8495306968688965,0.6462931632995605
Combined_18M,10,6.065964221954346,7.166196823120117,0.46297845244407654
Combined_18M,19,4.212713718414307,4.9798808097839355,0.7423207759857178
Combined_18M,26,3.782646894454956,4.797706604003906,0.7604901790618896
Combined_18M,8,4.567307472229004,5.450196743011475,0.6921341419219971
Combined_18M,21,6.141979694366455,7.264406681060791,0.44739851355552673
Combined_18M,44,3.61660099029541,4.375525951385498,0.8005638718605042
Combined_18M,43,2.6149563789367676,3.42197322845459,0.8784439563751221
Combined_18M,38,4.151937007904053,4.843874454498291,0.755361795425415
Combined_18M,36,2.7428131103515625,3.4533824920654297,0.8761051893234253
Combined_18M,31,2.770998477935791,3.4893925189971924,0.8738388419151306
Combined_18M,30,3.019655704498291,3.722193956375122,0.8559417724609375
Combined_18M,37,2.661379098892212,3.4162092208862305,0.8784695267677307
Combined_18M,39,2.708604335784912,3.434096574783325,0.8774364590644836
Combined_18M,46,2.590272903442383,3.360879898071289,0.8823422193527222
Combined_18M,41,2.6806960105895996,3.495957136154175,0.8732093572616577
Combined_18M,48,3.5454182624816895,4.247603893280029,0.8114305734634399
Combined_18M,24,4.591475486755371,5.359365463256836,0.7000317573547363
Combined_18M,23,3.3766465187072754,4.423383712768555,0.797504186630249
Combined_18M,4,3.8754708766937256,4.847731590270996,0.7585453391075134
Combined_18M,15,4.936349391937256,5.866474628448486,0.6412609219551086
Combined_18M,3,4.6117143630981445,5.563522815704346,0.680209219455719
Combined_18M,12,4.489987850189209,5.5429511070251465,0.6799349188804626
Combined_18M,49,3.8571109771728516,4.562719821929932,0.7818003296852112
Combined_18M,40,3.4415602684020996,4.167449474334717,0.8187048435211182
Combined_18M,47,2.552576780319214,3.2850053310394287,0.8873932957649231
Combined_18M,2,6.448153495788574,7.792545318603516,0.3688846230506897
Combined_18M,13,4.820001602172852,5.733362674713135,0.658077597618103
Combined_18M,5,6.992637634277344,8.11667251586914,0.3114173710346222
Combined_18M,14,4.208739757537842,5.293567180633545,0.710059404373169
Combined_18M,22,4.722589492797852,5.530420780181885,0.6809555888175964
Combined_18M,25,3.28611421585083,4.017446041107178,0.8322275876998901
Combined_12M,50,15.84648609161377,18.244592666625977,-2.896146297454834
Combined_12M,32,16.58796501159668,19.14390754699707,-3.2909162044525146
Combined_12M,35,8.749061584472656,10.14653491973877,-0.20290108025074005
Combined_12M,34,4.927676677703857,5.792922496795654,0.6109743118286133
Combined_12M,33,8.1350679397583,9.51330852508545,-0.05798020213842392
Combined_12M,20,2.4716529846191406,3.085209369659424,0.8905848264694214
Combined_12M,18,6.729575157165527,7.805962562561035,0.28977808356285095
Combined_12M,27,6.059762001037598,7.263754844665527,0.38344329595565796
Combined_12M,9,16.648866653442383,19.142555236816406,-3.2942521572113037
Combined_12M,11,3.021437406539917,3.917968273162842,0.8205161690711975
Combined_12M,7,15.990337371826172,18.423049926757812,-2.9671947956085205
Combined_12M,29,7.392834663391113,8.722442626953125,0.1111317127943039
Combined_12M,16,4.224061012268066,5.2252044677734375,0.6814500689506531
Combined_12M,42,3.513139247894287,4.220252513885498,0.7950557470321655
Combined_12M,45,6.176131725311279,7.217202186584473,0.3941870629787445
Combined_12M,6,4.151475429534912,5.200713157653809,0.6853616237640381
