dataset,fold,mae_1,rmse_1,r2_1,mae_2,rmse_2,r2_2,mae_3,rmse_3,r2_3,mae_4,rmse_4,r2_4,mae_5,rmse_5,r2_5,mae_6,rmse_6,r2_6,mae_7,rmse_7,r2_7,mae_8,rmse_8,r2_8,mae_9,rmse_9,r2_9,mae_10,rmse_10,r2_10,mae_11,rmse_11,r2_11,mae_12,rmse_12,r2_12,mae_13,rmse_13,r2_13
sliding_windows,9,1.190496563911438,1.811458706855774,0.9420161843299866,1.9176318645477295,2.6272730827331543,0.887921929359436,2.3360931873321533,3.0237576961517334,0.8669326901435852,2.6916441917419434,3.548475503921509,0.8279201984405518,3.049712896347046,3.890068292617798,0.8104286789894104,3.7334628105163574,4.926228046417236,0.7243161797523499,3.9834156036376953,5.404642581939697,0.681233823299408,4.758551120758057,6.525485515594482,0.5764081478118896,5.256526470184326,6.796069622039795,0.5797955393791199,5.119606018066406,6.598342418670654,0.4843679368495941,5.693553447723389,7.163071632385254,0.4485555589199066,6.143881320953369,7.642153263092041,0.4037918448448181,7.694976806640625,9.631460189819336,0.06385135650634766
sliding_windows,7,1.2929924726486206,1.8356876373291016,0.9404017329216003,2.007025957107544,2.623588800430298,0.8868899941444397,2.327589988708496,2.977661371231079,0.8690007925033569,2.6394970417022705,3.4339005947113037,0.8389517664909363,2.930957317352295,3.6284008026123047,0.8359245657920837,3.486074209213257,4.527665615081787,0.7692398428916931,3.746925115585327,4.773678779602051,0.7543339729309082,4.4088134765625,5.734209060668945,0.6768385767936707,5.181581497192383,6.534064292907715,0.6114144325256348,4.53752326965332,5.670123100280762,0.6192365884780884,4.884267330169678,6.06662130355835,0.6044541001319885,4.7697601318359375,6.211625099182129,0.6061081886291504,6.694207191467285,8.42944622039795,0.28293484449386597
sliding_windows,6,1.1852120161056519,1.8071832656860352,0.9422866702079773,1.887588620185852,2.572906970977783,0.8925638198852539,2.2617692947387695,2.959141731262207,0.8724326491355896,2.676067590713501,3.4878859519958496,0.8336050510406494,3.018150806427002,3.778836488723755,0.8210166692733765,3.6532907485961914,4.757798671722412,0.7428728342056274,3.8668229579925537,5.1582818031311035,0.7087302803993225,4.64214563369751,6.3400068283081055,0.5993033647537231,5.139779090881348,6.678990840911865,0.5941052436828613,4.742069244384766,6.115397930145264,0.5570856928825378,5.197298526763916,6.577383041381836,0.5350466966629028,5.5676398277282715,6.960295677185059,0.5054365992546082,7.442434310913086,9.198770523071289,0.1460743546485901
sliding_windows,1,1.2900501489639282,1.8739392757415771,0.9379512071609497,2.046933174133301,2.635418176651001,0.8859942555427551,2.4548299312591553,3.036517858505249,0.8637707233428955,2.8999905586242676,3.5927107334136963,0.8237643837928772,3.2147305011749268,3.865692377090454,0.8137879371643066,3.787214994430542,4.701977729797363,0.7510019540786743,4.020799160003662,4.959470748901367,0.7351353764533997,4.612509250640869,5.872280120849609,0.6615307331085205,5.480537414550781,6.616825103759766,0.6008387207984924,5.44922399520874,6.29086446762085,0.5313043594360352,5.8144001960754395,6.770506381988525,0.5073421001434326,5.737809181213379,6.972243785858154,0.5037373304367065,6.815668106079102,8.06737232208252,0.3432128429412842
sliding_windows,10,1.2839794158935547,1.8393518924713135,0.9400965571403503,1.9951726198196411,2.697725296020508,0.8798311352729797,2.385153293609619,3.1366474628448486,0.8550735712051392,2.8642966747283936,3.679880380630493,0.8151909708976746,3.12166428565979,3.944159984588623,0.8062094449996948,3.677281379699707,4.800057411193848,0.74050372838974,4.061936855316162,5.130484104156494,0.716070294380188,4.799222946166992,6.316854953765869,0.608055055141449,5.6628923416137695,7.233348369598389,0.5238786339759827,4.6473283767700195,5.975898742675781,0.5770619511604309,4.836605072021484,6.288638114929199,0.5749731063842773,4.729526042938232,6.352617263793945,0.5880240201950073,7.262207984924316,9.314825057983398,0.12439155578613281
sliding_windows,8,1.3211524486541748,1.8442251682281494,0.9398040175437927,2.067863702774048,2.66339373588562,0.8831086754798889,2.4456887245178223,3.057197332382202,0.8618497252464294,2.838879346847534,3.5705795288085938,0.8257381319999695,3.1107022762298584,3.8245279788970947,0.817670464515686,3.6645262241363525,4.667491436004639,0.7544721364974976,3.9136745929718018,4.925741672515869,0.7387456297874451,4.507150650024414,5.89591646194458,0.6588138341903687,5.3483567237854,6.753754615783691,0.5850103497505188,4.832330703735352,5.802420616149902,0.6012610793113708,5.109311580657959,6.15086030960083,0.593393087387085,4.8587565422058105,6.300027847290039,0.5948166847229004,6.866576194763184,8.319011688232422,0.30160045623779297
sliding_windows,4,1.2631772756576538,1.834506869316101,0.9405423998832703,1.9633904695510864,2.5572800636291504,0.8931818008422852,2.278606414794922,2.901857376098633,0.8760936260223389,2.6782705783843994,3.4301414489746094,0.8396174907684326,2.981083631515503,3.6459333896636963,0.8344261646270752,3.5510613918304443,4.526551723480225,0.7690573930740356,3.720665216445923,4.77094030380249,0.7535786032676697,4.396756649017334,5.825345993041992,0.6652490496635437,4.972980499267578,6.195662498474121,0.6506174802780151,4.438928604125977,5.418328285217285,0.6523030400276184,4.767645835876465,5.784397125244141,0.6404002904891968,4.7935404777526855,6.005716323852539,0.6317895650863647,6.496079444885254,7.858180046081543,0.3768329620361328
sliding_windows,3,1.1439155340194702,1.8051742315292358,0.9423568844795227,1.8710219860076904,2.5597331523895264,0.8941226005554199,2.266491651535034,2.9296231269836426,0.8752437829971313,2.793468952178955,3.5861868858337402,0.8226256966590881,3.150017023086548,3.937397003173828,0.8039337396621704,3.814706563949585,4.951906681060791,0.7190428972244263,4.039827823638916,5.410473346710205,0.6763465404510498,4.891696453094482,6.6558637619018555,0.5559704303741455,5.307676792144775,6.94114351272583,0.5616434812545776,4.908159255981445,6.407619476318359,0.5137454271316528,5.314685821533203,7.029228210449219,0.4689708352088928,5.986965656280518,7.548020362854004,0.4183889329433441,7.365087032318115,9.259769439697266,0.13471168279647827
sliding_windows,2,1.1719951629638672,1.8246345520019531,0.9411475658416748,1.8745813369750977,2.5716888904571533,0.8928543329238892,2.2579588890075684,2.9371588230133057,0.8743695616722107,2.745364189147949,3.559891700744629,0.8259416818618774,3.067251682281494,3.8516669273376465,0.8132059574127197,3.6622605323791504,4.793003559112549,0.7381362318992615,3.870603561401367,5.171371936798096,0.705874502658844,4.704082012176514,6.3774237632751465,0.5934072732925415,4.920599937438965,6.483635902404785,0.617516040802002,4.480780601501465,5.903859615325928,0.5871975421905518,4.864875316619873,6.427319049835205,0.5560205578804016,5.369635581970215,6.809919357299805,0.5265758037567139,7.0630106925964355,8.958799362182617,0.19004637002944946
sliding_windows,5,1.21485435962677,1.8077340126037598,0.9422674179077148,1.9032143354415894,2.529110908508301,0.8961800336837769,2.2541987895965576,2.8750054836273193,0.8791355490684509,2.655770778656006,3.3926076889038086,0.8430343866348267,2.9867708683013916,3.615431785583496,0.8370078206062317,3.525956392288208,4.472901344299316,0.7739073634147644,3.7077713012695312,4.699606418609619,0.7600688338279724,4.334094524383545,5.67966365814209,0.6811034083366394,4.9932403564453125,6.1144890785217285,0.6596912145614624,4.467567443847656,5.497547626495361,0.6420615911483765,4.79538106918335,5.929798603057861,0.6220946311950684,4.97350549697876,6.312158584594727,0.5932549834251404,6.262792110443115,7.535057544708252,0.42702776193618774
