dataset,trial,n_layer,n_units,learning_rate,decroissant,activation,optimizer,criterion,mae,rmse,r2
MLP_alsfrs-r_combined_9M,trial_28,3.0,256.0,5e-05,1.0,ReLU,Adam,Huber,2.8078067302703857,3.6536026000976562,0.8312985301017761
MLP_alsfrs-r_combined_9M,trial_17,2.0,256.0,0.0005,1.0,ReLU,Adam,Huber,2.9104673862457275,3.7706096172332764,0.820045530796051
MLP_alsfrs-r_combined_9M,trial_10,1.0,512.0,5e-05,1.0,ReLU,Adam,Huber,2.9106016159057617,3.7384984493255615,0.8220147490501404
MLP_alsfrs-r_combined_3M,trial_31,3.0,512.0,5e-05,0.0,ReLU,Adam,Huber,2.6203811168670654,3.4884884357452393,0.7959725260734558
MLP_alsfrs-r_combined_3M,trial_30,3.0,512.0,5e-06,0.0,ReLU,Adam,Huber,2.6087591648101807,3.4813904762268066,0.7911995053291321
MLP_alsfrs-r_combined_3M,trial_15,2.0,256.0,5e-06,1.0,ReLU,Adam,Huber,2.788724660873413,3.6887171268463135,0.7779095768928528
MLP_alsfrs-r_combined_3M,trial_12,2.0,256.0,5e-06,0.0,ReLU,Adam,Huber,2.6684951782226562,3.5301623344421387,0.789613664150238
MLP_alsfrs-r_combined_3M,trial_24,3.0,256.0,5e-06,0.0,ReLU,Adam,Huber,2.580345869064331,3.4214396476745605,0.8003479838371277
MLP_alsfrs-r_combined_3M,trial_23,2.0,512.0,0.0005,1.0,ReLU,Adam,Huber,2.65737247467041,3.4937119483947754,0.7989535331726074
MLP_alsfrs-r_combined_3M,trial_5,1.0,256.0,0.0005,1.0,ReLU,Adam,Huber,2.6054463386535645,3.4431872367858887,0.8068230152130127
MLP_alsfrs-r_combined_3M,trial_2,1.0,256.0,0.0005,0.0,ReLU,Adam,Huber,2.73317813873291,3.5993778705596924,0.7915439605712891
MLP_alsfrs-r_combined_3M,trial_22,2.0,512.0,5e-05,1.0,ReLU,Adam,Huber,2.5937492847442627,3.4450042247772217,0.7994922995567322
MLP_alsfrs-r_combined_3M,trial_25,3.0,256.0,5e-05,0.0,ReLU,Adam,Huber,2.612029552459717,3.4800994396209717,0.7964502573013306
MLP_alsfrs-r_combined_3M,trial_13,2.0,256.0,5e-05,0.0,ReLU,Adam,Huber,2.601422071456909,3.446320056915283,0.8011212348937988
MLP_alsfrs-r_combined_3M,trial_14,2.0,256.0,0.0005,0.0,ReLU,Adam,Huber,2.717804193496704,3.5657942295074463,0.7894539833068848
MLP_alsfrs-r_combined_3M,trial_3,1.0,256.0,5e-06,1.0,ReLU,Adam,Huber,4.030964374542236,5.255057334899902,0.5517666935920715
MLP_alsfrs-r_combined_3M,trial_4,1.0,256.0,5e-05,1.0,ReLU,Adam,Huber,2.5915474891662598,3.4315171241760254,0.8059909343719482
MLP_alsfrs-r_combined_3M,trial_32,3.0,512.0,0.0005,0.0,ReLU,Adam,Huber,2.721477508544922,3.5808348655700684,0.786994993686676
MLP_alsfrs-r_combined_3M,trial_35,3.0,512.0,0.0005,1.0,ReLU,Adam,Huber,2.7704648971557617,3.6369428634643555,0.7780476808547974
MLP_alsfrs-r_combined_3M,trial_34,3.0,512.0,5e-05,1.0,ReLU,Adam,Huber,2.6236073970794678,3.4655778408050537,0.7983184456825256
MLP_alsfrs-r_combined_3M,trial_33,3.0,512.0,5e-06,1.0,ReLU,Adam,Huber,2.6606290340423584,3.5142321586608887,0.7929950952529907
MLP_alsfrs-r_combined_3M,trial_1,1.0,256.0,5e-05,0.0,ReLU,Adam,Huber,2.6470844745635986,3.512485980987549,0.79792720079422
MLP_alsfrs-r_combined_3M,trial_6,1.0,512.0,5e-06,0.0,ReLU,Adam,Huber,3.1459648609161377,4.11142635345459,0.7236518263816833
MLP_alsfrs-r_combined_3M,trial_8,1.0,512.0,0.0005,0.0,ReLU,Adam,Huber,2.7014544010162354,3.578375816345215,0.7895110249519348
MLP_alsfrs-r_combined_3M,trial_11,1.0,512.0,0.0005,1.0,ReLU,Adam,Huber,2.715456008911133,3.578740358352661,0.7913606762886047
MLP_alsfrs-r_combined_3M,trial_29,3.0,256.0,0.0005,1.0,ReLU,Adam,Huber,2.8985960483551025,3.6613759994506836,0.7816126942634583
MLP_alsfrs-r_combined_3M,trial_16,2.0,256.0,5e-05,1.0,ReLU,Adam,Huber,2.5788700580596924,3.4148199558258057,0.8036735653877258
MLP_alsfrs-r_combined_3M,trial_20,2.0,512.0,0.0005,0.0,ReLU,Adam,Huber,2.8167545795440674,3.693687915802002,0.7738657593727112
MLP_alsfrs-r_combined_3M,trial_18,2.0,512.0,5e-06,0.0,ReLU,Adam,Huber,2.6463606357574463,3.516639232635498,0.7918903231620789
MLP_alsfrs-r_combined_3M,trial_27,3.0,256.0,5e-06,1.0,ReLU,Adam,Huber,2.702528953552246,3.579463481903076,0.7833759784698486
MLP_alsfrs-r_combined_3M,trial_9,1.0,512.0,5e-06,1.0,ReLU,Adam,Huber,3.1322813034057617,4.1084184646606445,0.7252270579338074
MLP_alsfrs-r_combined_3M,trial_7,1.0,512.0,5e-05,0.0,ReLU,Adam,Huber,2.5909461975097656,3.443849802017212,0.803394615650177
MLP_alsfrs-r_combined_3M,trial_0,1.0,256.0,5e-06,0.0,ReLU,Adam,Huber,4.01153564453125,5.232466697692871,0.5552906394004822
MLP_alsfrs-r_combined_3M,trial_0,3.0,512.0,5e-06,0.0,ReLU,Adam,Huber,2.6236417293548584,3.486891984939575,0.7949241995811462
MLP_alsfrs-r_combined_3M,trial_19,2.0,512.0,5e-05,0.0,ReLU,Adam,Huber,2.629345178604126,3.4976918697357178,0.7915703058242798
MLP_alsfrs-r_combined_3M,trial_26,3.0,256.0,0.0005,0.0,ReLU,Adam,Huber,2.938080072402954,3.811033248901367,0.7609575390815735
MLP_alsfrs-r_combined_3M,trial_21,2.0,512.0,5e-06,1.0,ReLU,Adam,Huber,2.629302740097046,3.5022025108337402,0.791210949420929
MLP_alsfrs-r_combined_3M,trial_28,3.0,256.0,5e-05,1.0,ReLU,Adam,Huber,2.6248619556427,3.4380064010620117,0.8028587698936462
MLP_alsfrs-r_combined_3M,trial_17,2.0,256.0,0.0005,1.0,ReLU,Adam,Huber,2.7262799739837646,3.6006994247436523,0.7843506336212158
MLP_alsfrs-r_combined_3M,trial_10,1.0,512.0,5e-05,1.0,ReLU,Adam,Huber,2.6117453575134277,3.4708540439605713,0.7991656064987183
MLP_alsfrs-r_combined_6M,trial_31,3.0,512.0,5e-05,0.0,ReLU,Adam,Huber,2.9035544395446777,3.9292285442352295,0.7752076387405396
MLP_alsfrs-r_combined_6M,trial_30,3.0,512.0,5e-06,0.0,ReLU,Adam,Huber,2.8962881565093994,3.9158854484558105,0.7764898538589478
MLP_alsfrs-r_combined_6M,trial_15,2.0,256.0,5e-06,1.0,ReLU,Adam,Huber,3.116961717605591,4.041416645050049,0.7732440233230591
