dataset,fold,mae,rmse,r2
Combined_12M,9,5.976285934448242,6.8426432609558105,0.16495490074157715
Combined_12M,7,7.198514461517334,8.064176559448242,-0.09213315695524216
Combined_12M,6,5.568556785583496,6.46014404296875,0.28246352076530457
Combined_12M,1,10.236010551452637,11.975770950317383,-1.3125568628311157
Combined_12M,10,7.736027717590332,8.581308364868164,-0.26490259170532227
Combined_12M,8,8.08712100982666,8.904159545898438,-0.31521767377853394
Combined_12M,4,8.467408180236816,9.32567310333252,-0.4393780827522278
Combined_12M,3,10.823019981384277,11.996000289916992,-1.41417396068573
Combined_12M,2,8.146737098693848,9.51667308807373,-0.48456525802612305
Combined_12M,5,11.386543273925781,12.361473083496094,-1.5222333669662476
Combined_3M,9,2.66171932220459,3.6005797386169434,0.7522177696228027
Combined_3M,7,2.077399969100952,2.9355297088623047,0.8285014033317566
Combined_3M,6,2.6820411682128906,3.348505735397339,0.788223147392273
Combined_3M,1,2.9407365322113037,3.642146587371826,0.7479924559593201
Combined_3M,10,2.4215688705444336,2.9782955646514893,0.8313776254653931
Combined_3M,8,2.1816823482513428,2.9939754009246826,0.812226414680481
Combined_3M,4,2.4126384258270264,3.0153660774230957,0.8301934599876404
Combined_3M,3,2.4101786613464355,2.9625155925750732,0.835368275642395
Combined_3M,2,3.708975076675415,4.500882625579834,0.5947732925415039
Combined_3M,5,2.0814425945281982,2.9278488159179688,0.8332710266113281
Combined_9M,9,2.477635145187378,3.097874879837036,0.845427393913269
Combined_9M,7,2.5786309242248535,3.5283751487731934,0.7889127135276794
Combined_9M,6,3.498725414276123,4.202827453613281,0.7172613143920898
Combined_9M,1,3.6749117374420166,5.149055004119873,0.5154845714569092
Combined_9M,10,2.881305456161499,3.7242956161499023,0.7728456258773804
Combined_9M,8,2.790731191635132,3.428427219390869,0.8126384019851685
Combined_9M,4,2.8322644233703613,4.272273063659668,0.6252191066741943
Combined_9M,3,4.373515605926514,5.516797065734863,0.4937438368797302
Combined_9M,2,3.649897336959839,5.1469407081604,0.5164808630943298
Combined_9M,5,2.8858823776245117,3.955188035964966,0.7269136905670166
Combined_6M,9,2.430054187774658,3.0201735496520996,0.8790181875228882
Combined_6M,7,3.070937156677246,4.0036845207214355,0.7702622413635254
Combined_6M,6,2.98427677154541,3.637618064880371,0.8227407932281494
Combined_6M,1,4.265147686004639,5.17402458190918,0.6465227007865906
Combined_6M,10,2.7304892539978027,3.5955047607421875,0.822564959526062
Combined_6M,8,2.6346383094787598,3.44003963470459,0.8292590975761414
Combined_6M,4,2.7945916652679443,3.4925482273101807,0.8315017223358154
Combined_6M,3,3.9187798500061035,4.596806526184082,0.7193248867988586
Combined_6M,2,3.043680191040039,3.6526083946228027,0.8209325671195984
Combined_6M,5,2.846437931060791,3.491849660873413,0.8367511630058289
