dataset,trial,n_layer,n_units,learning_rate,decroissant,activation,optimizer,criterion,mae,rmse,r2
MLP_alsfrs-r_T2-T3_T4,trial_5,3.0,256.0,0.0005,0.0,ReLU,Adam,Huber,2.3297531604766846,3.128960132598877,0.8559499979019165
MLP_alsfrs-r_T2-T3_T4,trial_2,3.0,256.0,1e-05,0.0,ReLU,Adam,Huber,2.238401412963867,3.022111654281616,0.8655660152435303
MLP_alsfrs-r_T2-T3_T4,trial_3,3.0,256.0,5e-05,0.0,ReLU,Adam,Huber,2.197493553161621,3.061213970184326,0.8603232502937317
MLP_alsfrs-r_T2-T3_T4,trial_4,3.0,256.0,0.0001,0.0,ReLU,Adam,Huber,2.2102622985839844,3.092710018157959,0.858018696308136
MLP_alsfrs-r_T2-T3_T4,trial_1,3.0,256.0,5e-06,0.0,ReLU,Adam,Huber,2.177142381668091,3.01570200920105,0.8652375340461731
MLP_alsfrs-r_T2-T3_T4,trial_6,3.0,256.0,0.001,0.0,ReLU,Adam,Huber,2.357013702392578,3.2864744663238525,0.8407461047172546
MLP_alsfrs-r_T2-T3_T4,trial_8,3.0,256.0,0.01,0.0,ReLU,Adam,Huber,2.3936195373535156,3.34924054145813,0.8359470367431641
MLP_alsfrs-r_T2-T3_T4,trial_9,3.0,256.0,0.05,0.0,ReLU,Adam,Huber,3.6081602573394775,4.453958988189697,0.7162292003631592
MLP_alsfrs-r_T2-T3_T4,trial_7,3.0,256.0,0.005,0.0,ReLU,Adam,Huber,3.1306354999542236,3.786888837814331,0.798456609249115
MLP_alsfrs-r_T2-T3_T4,trial_0,3.0,256.0,1e-06,0.0,ReLU,Adam,Huber,2.34643816947937,3.1462624073028564,0.8554205298423767
MLP_alsfrs-r_T3_T4,trial_5,1.0,512.0,0.0005,1.0,ReLU,Adam,Huber,2.3240365982055664,3.094650983810425,0.8627835512161255
MLP_alsfrs-r_T3_T4,trial_2,1.0,512.0,1e-05,1.0,ReLU,Adam,Huber,2.286195755004883,3.0368709564208984,0.8690020442008972
MLP_alsfrs-r_T3_T4,trial_3,1.0,512.0,5e-05,1.0,ReLU,Adam,Huber,2.287870407104492,3.0718393325805664,0.8649458289146423
MLP_alsfrs-r_T3_T4,trial_4,1.0,512.0,0.0001,1.0,ReLU,Adam,Huber,2.3714630603790283,3.0613155364990234,0.8692976236343384
MLP_alsfrs-r_T3_T4,trial_1,1.0,512.0,5e-06,1.0,ReLU,Adam,Huber,2.2825489044189453,3.069272994995117,0.8654313087463379
MLP_alsfrs-r_T3_T4,trial_6,1.0,512.0,0.001,1.0,ReLU,Adam,Huber,2.5634493827819824,3.418944835662842,0.8301249742507935
MLP_alsfrs-r_T3_T4,trial_8,1.0,512.0,0.01,1.0,ReLU,Adam,Huber,2.6231307983398438,3.2785816192626953,0.8536199331283569
MLP_alsfrs-r_T3_T4,trial_9,1.0,512.0,0.05,1.0,ReLU,Adam,Huber,3.1671059131622314,3.9862101078033447,0.7695194482803345
MLP_alsfrs-r_T3_T4,trial_7,1.0,512.0,0.005,1.0,ReLU,Adam,Huber,3.888099431991577,4.601964950561523,0.6953248977661133
MLP_alsfrs-r_T3_T4,trial_0,1.0,512.0,1e-06,1.0,ReLU,Adam,Huber,2.3086373805999756,3.084102153778076,0.8648876547813416
MLP_alsfrs-r_T2_T3,trial_5,1.0,256.0,0.0005,0.0,ReLU,Adam,Huber,2.406374931335449,3.39131760597229,0.8042917847633362
MLP_alsfrs-r_T2_T3,trial_2,1.0,256.0,1e-05,0.0,ReLU,Adam,Huber,2.421574115753174,3.328871726989746,0.8128066658973694
MLP_alsfrs-r_T2_T3,trial_3,1.0,256.0,5e-05,0.0,ReLU,Adam,Huber,2.4123027324676514,3.3375062942504883,0.8114995956420898
MLP_alsfrs-r_T2_T3,trial_4,1.0,256.0,0.0001,0.0,ReLU,Adam,Huber,2.4749951362609863,3.4825336933135986,0.7957987785339355
