Run;n_layer;n_units;learning_rate;activation;criterion;decroissant;optimizer;Smoothed;Value;Step
T1_T4/trial_19;2;1 024;0,0006;ReLU;MAE;1;Adam;4,8407;4,8407;280
T1_T4/trial_2;4;128;0;tanh;MSE;1;Adam;25,1239;25,1239;2 800
T1_T4/trial_20;4;32;0,0004;ReLU;Huber;1;Adam;4,7414;4,7414;1 512
T1_T4/trial_21;4;32;0,0004;ReLU;Huber;1;Adam;4,6981;4,6981;1 512
T1_T4/trial_22;4;32;0,0011;ReLU;Huber;1;Adam;4,8862;4,8862;1 120
T1_T4/trial_23;3;64;0,0029;ReLU;Huber;1;Adam;4,6477;4,6477;784
T1_T4/trial_24;4;64;0,0036;ReLU;Huber;1;Adam;4,7176;4,7176;448
T1_T4/trial_25;3;64;0,003;ReLU;Huber;1;Adam;5,0242;5,0242;448
T1_T4/trial_26;3;64;0,0022;tanh;Huber;1;Adam;7,8292;7,8292;2 072
T1_T4/trial_27;4;64;0,0089;ReLU;Huber;1;Adagrad;4,957;4,957;504
T1_T4/trial_28;4;64;0,0009;ReLU;MAE;1;Adam;4,7155;4,7155;616
T1_T4/trial_29;2;1 024;0,0001;ReLU;MSE;1;Adam;4,7367;4,7367;1 456
T1_T4/trial_3;1;256;0,0001;tanh;MSE;1;RMSprop;4,9419;4,9419;6 660
T1_T4/trial_30;3;32;0,0003;ReLU;Huber;1;Adam;4,6919;4,6919;1 736
T1_T4/trial_31;3;32;0,0003;ReLU;Huber;1;Adam;4,7274;4,7274;1 064
T1_T4/trial_32;3;32;0,0002;ReLU;Huber;1;Adam;4,7152;4,7152;1 512
T1_T4/trial_33;3;32;0,0001;tanh;Huber;1;Adam;14,7679;14,7679;11 200
T1_T4/trial_34;3;128;0,0001;ReLU;MSE;1;Adam;5,0201;5,0201;1 512
T1_T4/trial_35;2;64;0,0002;tanh;Huber;1;Adam;5,7756;5,7756;5 600
T1_T4/trial_36;3;32;0,0098;ReLU;Huber;1;Adam;4,6601;4,6601;560
T1_T4/trial_37;3;128;0,0009;ReLU;MSE;1;Adagrad;5,0522;5,0522;1 736
T1_T4/trial_38;2;256;0,0003;tanh;Huber;1;Adam;5,2546;5,2546;2 212
T1_T4/trial_39;2;1 024;0,0001;ReLU;Huber;1;Adam;4,7296;4,7296;364
T1_T4/trial_4;1;512;0;sigmoid;Huber;0;RMSprop;5,0985;5,0985;6 771
T1_T4/trial_40;4;64;0;ReLU;Huber;1;Adagrad;27,7877;27,7877;22 200
T1_T4/trial_41;4;32;0,0004;ReLU;Huber;1;Adam;4,6575;4,6575;1 568
T1_T4/trial_42;5;32;0,0002;ReLU;Huber;1;Adam;5,0362;5,0362;1 736
T1_T4/trial_43;3;32;0,0004;ReLU;Huber;1;Adam;4,7141;4,7141;952
T1_T4/trial_44;4;32;0,0006;ReLU;Huber;1;Adam;4,7373;4,7373;896
T1_T4/trial_45;3;256;0,002;ReLU;Huber;0;Adam;4,7511;4,7511;392
T1_T4/trial_46;3;32;0,0001;sigmoid;Huber;1;Adam;19,232;19,232;11 200
T1_T4/trial_47;2;512;0,0012;ReLU;MAE;1;RMSprop;4,7187;4,7187;1 887
T1_T4/trial_48;5;128;0,0061;tanh;Huber;0;Adam;7,8143;7,8143;196
T1_T4/trial_49;3;32;0,0003;sigmoid;MSE;1;Adagrad;29,3936;29,3936;2 800
T1_T4/trial_5;5;1 024;0,0002;sigmoid;Huber;0;Adagrad;7,8324;7,8324;22 200
T1_T4/trial_6;2;128;0,0015;sigmoid;Huber;1;Adagrad;12,4388;12,4388;22 200
T1_T4/trial_7;5;256;0;sigmoid;Huber;1;Adam;17,8303;17,8303;22 200
T1_T4/trial_8;5;256;0,0015;ReLU;Huber;1;RMSprop;6,8553;6,8553;280
T1_T4/trial_9;2;512;0,0016;sigmoid;Huber;1;Adam;7,8336;7,8336;504
T1-T2-T3_T4/trial_0;3;1 024;0,006;sigmoid;MAE;1;Adagrad;3,1229;3,1229;1 863
T1-T2-T3_T4/trial_1;1;32;0,0003;tanh;Huber;1;RMSprop;3,1672;3,1672;4 708
T1-T2-T3_T4/trial_10;5;128;0;ReLU;MAE;0;Adam;2,2233;2,2233;5 778
T1-T2-T3_T4/trial_11;5;256;0,0001;ReLU;MAE;0;RMSprop;2,5018;2,5018;1 819
T1-T2-T3_T4/trial_12;4;512;0,0006;ReLU;MAE;0;RMSprop;2,4728;2,4728;3 103
T1-T2-T3_T4/trial_13;5;256;0;ReLU;MAE;0;RMSprop;2,2633;2,2633;3 564
T1-T2-T3_T4/trial_14;4;128;0,0001;ReLU;MAE;1;Adam;2,1952;2,1952;5 136
T1-T2-T3_T4/trial_15;4;128;0;ReLU;MAE;0;Adam;2,1858;2,1858;3 210
T1-T2-T3_T4/trial_16;4;128;0;ReLU;MAE;0;Adam;2,2352;2,2352;3 745
T1-T2-T3_T4/trial_17;2;128;0,0002;ReLU;MAE;1;Adam;2,2559;2,2559;1 819
T1-T2-T3_T4/trial_18;4;64;0,0015;tanh;MAE;0;Adam;7,5803;7,5803;1 177
T1-T2-T3_T4/trial_19;2;512;0;sigmoid;Huber;1;Adam;2,7186;2,7186;10 272
T1-T2-T3_T4/trial_2;3;64;0,0001;ReLU;MSE;1;Adam;2,3135;2,3135;2 800
T1-T2-T3_T4/trial_20;2;512;0,0093;sigmoid;Huber;0;Adam;7,9075;7,9075;243
T1-T2-T3_T4/trial_21;1;512;0,0001;sigmoid;Huber;1;Adam;2,6805;2,6805;7 383
T1-T2-T3_T4/trial_22;1;512;0;sigmoid;Huber;1;Adam;2,599;2,599;8 025
T1-T2-T3_T4/trial_23;1;512;0;sigmoid;Huber;1;Adam;2,564;2,564;15 408
T1-T2-T3_T4/trial_24;1;512;0;sigmoid;Huber;1;Adam;2,5949;2,5949;18 511
T1-T2-T3_T4/trial_25;1;512;0;sigmoid;Huber;1;Adagrad;23,2316;23,2316;21 400
T1-T2-T3_T4/trial_26;1;512;0;sigmoid;Huber;1;Adam;2,7206;2,7206;17 227
T1-T2-T3_T4/trial_27;1;512;0;sigmoid;Huber;1;Adam;2,7126;2,7126;21 400
T1-T2-T3_T4/trial_28;1;512;0;sigmoid;Huber;1;Adam;9,5327;9,5327;2 800
T1-T2-T3_T4/trial_29;2;512;0;sigmoid;Huber;1;Adagrad;26,1099;26,1099;5 400
T1-T2-T3_T4/trial_3;3;128;0;ReLU;MSE;0;Adam;2,2327;2,2327;2 322
T1-T2-T3_T4/trial_30;1;512;0,0002;sigmoid;Huber;1;Adam;2,573;2,573;2 160
T1-T2-T3_T4/trial_31;1;512;0,0002;sigmoid;Huber;1;Adam;2,6126;2,6126;2 160
T1-T2-T3_T4/trial_32;1;512;0;sigmoid;Huber;1;Adam;3,2757;3,2757;5 400
T1-T2-T3_T4/trial_33;2;32;0,0003;sigmoid;Huber;1;Adam;8,2856;8,2856;5 400
T1-T2-T3_T4/trial_34;1;64;0;sigmoid;Huber;1;Adam;25,2595;25,2595;5 400
T1-T2-T3_T4/trial_35;1;512;0,0037;sigmoid;Huber;1;Adam;7,5823;7,5823;642
T1-T2-T3_T4/trial_36;2;1 024;0,0001;sigmoid;Huber;1;Adagrad;22,3723;22,3723;2 800
T1-T2-T3_T4/trial_37;1;32;0,0005;tanh;MSE;1;Adam;3,3988;3,3988;4 320
T1-T2-T3_T4/trial_38;2;512;0,0001;sigmoid;Huber;1;Adam;2,6709;2,6709;4 280
T1-T2-T3_T4/trial_39;1;512;0,0013;sigmoid;Huber;1;RMSprop;3,1555;3,1555;1 712
T1-T2-T3_T4/trial_4;3;1 024;0,0005;sigmoid;Huber;1;RMSprop;3,0815;3,0815;1 036
T1-T2-T3_T4/trial_40;1;64;0;tanh;MSE;1;Adam;20,7912;20,7912;2 800
T1-T2-T3_T4/trial_41;1;512;0;sigmoid;Huber;1;Adam;2,6547;2,6547;21 400
T1-T2-T3_T4/trial_42;1;512;0;sigmoid;Huber;1;Adam;2,6305;2,6305;18 832
T1-T2-T3_T4/trial_43;1;512;0;sigmoid;Huber;1;Adam;2,5986;2,5986;16 264
T1-T2-T3_T4/trial_44;2;1 024;0;sigmoid;Huber;1;Adam;2,5926;2,5926;9 774
T1-T2-T3_T4/trial_45;1;512;0,0001;sigmoid;Huber;1;Adagrad;18,1207;18,1207;21 400
T1-T2-T3_T4/trial_46;2;512;0;sigmoid;MSE;1;Adam;2,7261;2,7261;21 400
T1-T2-T3_T4/trial_47;1;256;0,0001;sigmoid;Huber;1;RMSprop;2,7538;2,7538;5 400
T1-T2-T3_T4/trial_48;3;32;0,0008;tanh;Huber;1;Adam;3,5229;3,5229;8 100
T1-T2-T3_T4/trial_49;1;512;0;sigmoid;Huber;1;Adam;2,679;2,679;9 523
T1-T2-T3_T4/trial_5;4;32;0,0012;tanh;Huber;1;Adagrad;27,3584;27,3584;10 800
T1-T2-T3_T4/trial_6;2;256;0,0002;tanh;MSE;1;Adam;2,8989;2,8989;4 644
T1-T2-T3_T4/trial_7;5;256;0,0001;ReLU;MAE;1;RMSprop;2,2213;2,2213;2 568
T1-T2-T3_T4/trial_8;4;128;0,0001;ReLU;MAE;0;Adam;2,219;2,219;2 160
T1-T2-T3_T4/trial_9;3;1 024;0;sigmoid;MSE;0;Adagrad;23,0469;23,0469;2 800
T2-T3_T4/trial_0;2;64;0,0004;sigmoid;Huber;1;Adam;3,1809;3,1809;4 455
T2-T3_T4/trial_1;5;64;0,0002;sigmoid;Huber;0;Adam;7,5821;7,5821;4 914
T2-T3_T4/trial_10;1;32;0;tanh;MAE;0;RMSprop;23,327;23,327;10 800
T2-T3_T4/trial_11;2;64;0;sigmoid;Huber;1;RMSprop;27,204;27,204;2 800
T2-T3_T4/trial_12;3;32;0,0006;ReLU;Huber;1;Adagrad;2,3286;2,3286;10 800
T2-T3_T4/trial_13;3;32;0,0007;ReLU;MAE;1;Adagrad;2,3318;2,3318;7 344
T2-T3_T4/trial_14;4;32;0,0099;ReLU;Huber;1;Adagrad;2,3088;2,3088;1 566
T2-T3_T4/trial_15;4;32;0,0009;ReLU;Huber;1;Adagrad;2,345;2,345;10 800
T2-T3_T4/trial_16;4;32;0,0012;ReLU;Huber;1;Adagrad;30,0472;30,0472;10 800
T2-T3_T4/trial_17;4;512;0,0001;tanh;Huber;1;Adagrad;24,9438;24,9438;10 800
T2-T3_T4/trial_18;4;32;0,0043;ReLU;Huber;1;RMSprop;3,0482;3,0482;154
T2-T3_T4/trial_19;5;32;0,0013;ReLU;Huber;1;Adagrad;2,3159;2,3159;21 400
T2-T3_T4/trial_2;2;256;0,0019;sigmoid;MAE;0;Adam;3,1737;3,1737;756
T2-T3_T4/trial_20;5;32;0,0093;tanh;Huber;1;Adagrad;21,1994;21,1994;21 400
T2-T3_T4/trial_21;5;32;0,0012;ReLU;Huber;1;Adagrad;30,31;30,31;21 400
T2-T3_T4/trial_22;4;32;0,0013;ReLU;Huber;1;Adagrad;2,3771;2,3771;14 980
T2-T3_T4/trial_23;5;32;0,0009;ReLU;Huber;1;Adagrad;30,0087;30,0087;21 400
T2-T3_T4/trial_24;4;32;0,0004;ReLU;Huber;1;Adagrad;3,5423;3,5423;10 800
T2-T3_T4/trial_25;5;256;0,0051;ReLU;Huber;1;RMSprop;2,6748;2,6748;486
T2-T3_T4/trial_26;4;512;0,0001;ReLU;Huber;1;Adagrad;2,3016;2,3016;17 548
T2-T3_T4/trial_27;3;512;0,0001;ReLU;Huber;1;Adagrad;2,2744;2,2744;19 688
T2-T3_T4/trial_28;3;512;0,0001;ReLU;MSE;1;Adagrad;2,3494;2,3494;21 400
T2-T3_T4/trial_29;1;512;0;tanh;Huber;1;RMSprop;2,5682;2,5682;5 992
