dataset,trial,n_layer,n_units,learning_rate,decroissant,batch_size,activation,optimizer,mae,rmse,r2
combined_3M,trial_76,2.0,512.0,5.377094180595829e-05,0.0,16,sigmoid,Adam,2.385331869125366,3.201738119125366,0.829361081123352
combined_6M,trial_12,2.0,512.0,0.0001462363429674,0.0,16,sigmoid,Adam,2.501373767852783,3.3086140155792236,0.8484539985656738
combined_9M,trial_2,1.0,512.0,0.0001511861560469,1.0,16,sigmoid,Adam,2.471545457839966,3.191150426864624,0.8697624206542969
