fold,mae_1,rmse_1,r2_1,mae_2,rmse_2,r2_2,mae_3,rmse_3,r2_3,mae_4,rmse_4,r2_4,mae_5,rmse_5,r2_5,mae_6,rmse_6,r2_6,mae_7,rmse_7,r2_7,mae_8,rmse_8,r2_8,mae_9,rmse_9,r2_9,mae_10,rmse_10,r2_10,mae_11,rmse_11,r2_11,mae_12,rmse_12,r2_12,mae_13,rmse_13,r2_13
1,2.101287603378296,2.4355971813201904,0.8876787424087524,11.996170043945312,12.360220909118652,-1.7078760862350464,13.043344497680664,13.535462379455566,-2.1837425231933594,14.306052207946777,14.937679290771484,-2.5651814937591553,15.195706367492676,15.859582901000977,-3.0350029468536377,16.02174186706543,16.787586212158203,-3.39775013923645,16.758079528808594,17.664793014526367,-3.5620343685150146,17.49767303466797,18.410085678100586,-3.9813859462738037,18.334632873535156,19.274900436401367,-4.461793899536133,19.89188575744629,20.760271072387695,-5.7254719734191895,20.43350601196289,21.402870178222656,-5.69970703125,21.024768829345703,21.99049186706543,-6.1120524406433105,23.099184036254883,23.995664596557617,-7.788774490356445
4,1.6063939332962036,1.971238613128662,0.9262662529945374,11.8394136428833,12.128067970275879,-1.6058335304260254,13.129788398742676,13.537242889404297,-2.1826512813568115,14.509285926818848,15.0480318069458,-2.6168954372406006,15.522269248962402,16.093435287475586,-3.1546239852905273,16.472639083862305,17.12920570373535,-3.578444719314575,17.3321475982666,18.119516372680664,-3.8006362915039062,18.195167541503906,18.97535514831543,-4.293245315551758,19.04785919189453,19.866411209106445,-4.801580429077148,20.74296760559082,21.62088394165039,-6.294508457183838,21.43739128112793,22.414573669433594,-6.347621440887451,22.17286491394043,23.139562606811523,-6.874590873718262,24.253307342529297,25.16558074951172,-8.666665077209473
3,1.635683536529541,1.9959057569503784,0.924254834651947,10.822525978088379,11.174788475036621,-1.2149617671966553,11.911299705505371,12.417763710021973,-1.6816970109939575,13.090384483337402,13.787182807922363,-2.039137601852417,13.920232772827148,14.695510864257812,-2.46572208404541,14.700608253479004,15.587163925170898,-2.793489694595337,15.403326034545898,16.44904327392578,-2.9612503051757812,16.1214542388916,17.187044143676758,-3.347727060317993,16.88524627685547,17.98103141784668,-3.7597131729125977,18.63532829284668,19.56328010559082,-4.972530841827393,19.199514389038086,20.231245040893555,-4.986410617828369,19.81147575378418,20.8474178314209,-5.391778469085693,21.717010498046875,22.644689559936523,-6.827003479003906
2,1.9928889274597168,2.347743034362793,0.8954193592071533,9.057557106018066,9.382586479187012,-0.5609758496284485,9.64834213256836,10.112927436828613,-0.7775375843048096,10.60483455657959,11.254054069519043,-1.0241425037384033,11.293925285339355,12.00561237335205,-1.312351942062378,11.976995468139648,12.822924613952637,-1.5663448572158813,12.602197647094727,13.632390975952148,-1.7182711362838745,13.253011703491211,14.313523292541504,-2.0118331909179688,13.985444068908691,15.082100868225098,-2.34543776512146,15.97955322265625,16.821746826171875,-3.417006015777588,16.4349422454834,17.39815902709961,-3.4295313358306885,16.943620681762695,17.932222366333008,-3.7307932376861572,19.338163375854492,20.26688003540039,-5.269553184509277
5,1.9478790760040283,2.3158576488494873,0.8983806371688843,10.690380096435547,11.080745697021484,-1.1762062311172485,11.505074501037598,12.032586097717285,-1.5156867504119873,12.733813285827637,13.430089950561523,-1.8818024396896362,13.652756690979004,14.412357330322266,-2.332141399383545,14.519055366516113,15.406510353088379,-2.7039482593536377,15.291187286376953,16.345518112182617,-2.9062387943267822,16.062503814697266,17.115995407104492,-3.305617332458496,16.866069793701172,17.974342346191406,-3.7483785152435303,18.299835205078125,19.315467834472656,-4.821599960327148,18.812740325927734,19.946556091308594,-4.817644119262695,19.375465393066406,20.503173828125,-5.180860996246338,21.407516479492188,22.405092239379883,-6.662248611450195
