dataset,trial,n_layer,n_units,learning_rate,decroissant,activation,optimizer,criterion,mae,rmse,r2
MLP_alsfrs-r_lab_r2eta2top100_T3_T4,trial_0,1.0,512.0,5e-06,1.0,ReLU,Adam,Huber,5.272903919219971,6.7089691162109375,0.3654197156429291
MLP_alsfrs-r_control_T1_T2,trial_0,2.0,512.0,5e-05,0.0,ReLU,Adam,Huber,3.214341163635254,4.303794860839844,0.5088647603988647
MLP_alsfrs-r_no_delta_thresh80_T1_T2,trial_0,2.0,512.0,5e-05,0.0,ReLU,Adam,Huber,2.954216957092285,3.9178757667541504,0.6548666954040527
MLP_alsfrs-r_control_T2_T3,trial_0,1.0,256.0,0.0005,0.0,ReLU,Adam,Huber,3.70426082611084,4.791391372680664,0.5976517200469971
MLP_alsfrs-r_no_delta_r2eta2top100_T4_T5,trial_0,3.0,256.0,5e-05,1.0,ReLU,Adam,Huber,3.016087055206299,3.923887252807617,0.8205470442771912
MLP_alsfrs-r_lab_r2eta2top100_T4_T5,trial_0,3.0,256.0,5e-05,1.0,ReLU,Adam,Huber,3.161585807800293,4.208439350128174,0.7480588555335999
MLP_alsfrs-r_lab_r2eta2top100_T2-T3_T4,trial_0,3.0,256.0,5e-06,0.0,ReLU,Adam,Huber,3.171548843383789,4.126600742340088,0.756493330001831
MLP_alsfrs-r_lab_no_delta_thresh80_T1_T2,trial_0,2.0,512.0,5e-05,0.0,ReLU,Adam,Huber,3.2364566326141357,4.173123836517334,0.613952100276947
MLP_alsfrs-r_lab_thresh80_T1-T2-T3-T4_T5,trial_0,1.0,256.0,0.0005,0.0,ReLU,Adam,Huber,3.8609867095947266,4.996170520782471,0.7017247676849365
MLP_alsfrs-r_no_delta_thresh80_T4_T5,trial_0,3.0,256.0,5e-05,1.0,ReLU,Adam,Huber,2.958845615386963,3.7146241664886475,0.8214791417121887
MLP_alsfrs-r_lab_no_delta_thresh80_T2-T3_T4,trial_0,3.0,256.0,5e-06,0.0,ReLU,Adam,Huber,3.3232240676879883,4.272202968597412,0.7350460886955261
MLP_alsfrs-r_no_delta_thresh80_T1-T2_T3,trial_0,3.0,256.0,0.0001,1.0,ReLU,Adam,Huber,3.2439754009246826,4.222731590270996,0.7214232087135315
