dataset,n_layer,n_units,learning_rate,decroissant,mae,rmse,r2,trial
lab_thresh80_T3-T4_T5,2.0,512.0,5e-05,1.0,3.321357488632202,4.366179466247559,0.7651438117027283,trial_0
lab_thresh80_T3_T4,1.0,512.0,5e-06,1.0,5.560917377471924,7.3054423332214355,0.2111462950706482,trial_0
lab_thresh80_T4_T5,3.0,256.0,5e-05,1.0,3.104503870010376,3.9070072174072266,0.7979556918144226,trial_0
no_delta_r2eta2top100_T1-T2-T3-T4_T5,1.0,256.0,0.0005,0.0,3.702481269836426,4.697258949279785,0.7024293541908264,trial_0
no_delta_r2eta2top100_T1-T2-T3_T4,3.0,512.0,5e-06,0.0,3.3503856658935547,4.121983528137207,0.7256184220314026,trial_0
no_delta_r2eta2top100_T1-T2_T3,3.0,256.0,0.0001,1.0,3.4329330921173096,4.599480152130127,0.6903728246688843,trial_0
no_delta_r2eta2top100_T1_T2,2.0,512.0,5e-05,0.0,3.1419742107391357,4.2679948806762695,0.5597206354141235,trial_0
no_delta_r2eta2top100_T2-T3-T4_T5,2.0,512.0,0.0005,1.0,3.6443567276000977,4.5025811195373535,0.7275463938713074,trial_0
no_delta_r2eta2top100_T2-T3_T4,3.0,256.0,5e-06,0.0,3.633621454238891,4.529712677001953,0.675088107585907,trial_0
no_delta_r2eta2top100_T2_T3,1.0,256.0,0.0005,0.0,3.704617977142334,4.932011127471924,0.6347164511680603,trial_0
no_delta_r2eta2top100_T3-T4_T5,2.0,512.0,5e-05,1.0,3.34544038772583,4.335212707519531,0.766254186630249,trial_0
no_delta_r2eta2top100_T3_T4,1.0,512.0,5e-06,1.0,7.154273509979248,9.188576698303224,-0.3817629814147949,trial_0
no_delta_r2eta2top100_T4_T5,3.0,256.0,5e-05,1.0,3.016087055206299,3.923887252807617,0.8205470442771912,trial_0
no_delta_thresh80_T1-T2-T3-T4_T5,1.0,256.0,0.0005,0.0,3.679919719696045,4.637618064880371,0.7162915468215942,trial_0
no_delta_thresh80_T1-T2-T3_T4,3.0,512.0,5e-06,0.0,3.276442050933838,4.272154331207275,0.737065315246582,trial_0
no_delta_thresh80_T1-T2_T3,3.0,256.0,0.0001,1.0,3.2439754009246826,4.222731590270996,0.7214232087135315,trial_0
no_delta_thresh80_T1_T2,2.0,512.0,5e-05,0.0,2.954216957092285,3.9178757667541504,0.6548666954040527,trial_0
no_delta_thresh80_T2-T3-T4_T5,2.0,512.0,0.0005,1.0,3.423809051513672,4.240599155426025,0.7672882676124573,trial_0
no_delta_thresh80_T2-T3_T4,3.0,256.0,5e-06,0.0,3.338346004486084,4.3065972328186035,0.7290002107620239,trial_0
no_delta_thresh80_T2_T3,1.0,256.0,0.0005,0.0,3.1715738773345947,4.106916427612305,0.737952470779419,trial_0
no_delta_thresh80_T3-T4_T5,2.0,512.0,5e-05,1.0,3.3458166122436523,4.293899059295654,0.7498700618743896,trial_0
no_delta_thresh80_T3_T4,1.0,512.0,5e-06,1.0,5.633107662200928,7.309548377990723,0.2305712550878524,trial_0
no_delta_thresh80_T4_T5,3.0,256.0,5e-05,1.0,2.958845615386963,3.714624166488647,0.8214791417121887,trial_0
