dataset,fold,mae_1,rmse_1,r2_1,mae_2,rmse_2,r2_2,mae_3,rmse_3,r2_3,mae_4,rmse_4,r2_4,mae_5,rmse_5,r2_5,mae_6,rmse_6,r2_6,mae_7,rmse_7,r2_7,mae_8,rmse_8,r2_8,mae_9,rmse_9,r2_9,mae_10,rmse_10,r2_10,mae_11,rmse_11,r2_11,mae_12,rmse_12,r2_12,mae_13,rmse_13,r2_13
sliding_windows,9,1.3012655973434448,1.9260753393173218,0.930304765701294,2.9746971130371094,3.7483983039855957,0.7620072364807129,5.465566635131836,6.33455753326416,0.3688047528266907,8.207914352416992,9.077451705932617,-0.26231691241264343,10.685837745666504,11.568114280700684,-0.8398109078407288,12.859923362731934,13.949007987976074,-1.4132943153381348,14.784974098205566,15.880036354064941,-1.9830671548843384,16.74498748779297,17.992921829223633,-2.4710490703582764,17.144437789916992,18.678869247436523,-2.821120023727417,18.74741554260254,20.11711883544922,-4.549952507019043,19.8645076751709,21.353132247924805,-4.655644416809082,20.925569534301758,22.462446212768555,-4.819126129150391,22.518611907958984,24.321189880371094,-4.985219955444336
sliding_windows,7,1.226944923400879,1.8571467399597168,0.9351136684417725,2.6679162979125977,3.489757537841797,0.794380247592926,4.462081432342529,5.5607805252075195,0.5160660743713379,6.729142665863037,7.896366119384766,0.045092396438121796,8.858464241027832,10.086945533752441,-0.39403247833251953,10.743093490600586,12.204514503479004,-0.8403864502906799,12.398250579833984,13.879161834716797,-1.2740390300750732,14.102762222290039,15.73721981048584,-1.650040864944458,14.417543411254883,16.28175926208496,-1.8651171922683716,16.256635665893555,17.756696701049805,-3.3259854316711426,17.24884796142578,18.877798080444336,-3.42610502243042,18.189987182617188,19.885196685791016,-3.565633535385132,19.890424728393555,21.87720489501953,-3.839909076690674
sliding_windows,6,1.3183083534240723,1.9620373249053955,0.9280878305435181,2.9574522972106934,3.7353878021240234,0.7613787055015564,5.286693572998047,6.18295431137085,0.39754194021224976,7.766867160797119,8.698917388916016,-0.1585332751274109,9.959854125976562,10.958037376403809,-0.6473609209060669,11.874557495117188,13.114800453186035,-1.129145860671997,13.569567680358887,14.83275318145752,-1.5999408960342407,15.322998046875,16.753551483154297,-2.00716495513916,15.630332946777344,17.327903747558594,-2.2718372344970703,17.305498123168945,18.6644287109375,-3.782132863998413,18.324588775634766,19.808815002441406,-3.873321533203125,19.289281845092773,20.843965530395508,-4.016067028045654,20.96062660217285,22.811595916748047,-4.262734889984131
sliding_windows,1,1.200278878211975,1.7737665176391602,0.9388052821159363,2.09196400642395,2.7921361923217773,0.8679785132408142,2.8615005016326904,3.7518558502197266,0.7828244566917419,3.9812467098236084,5.092800617218018,0.6073249578475952,5.034277439117432,6.471381187438965,0.437674880027771,6.245588302612305,8.066922187805176,0.21440182626247406,7.432620525360107,9.242337226867676,0.004892587661743164,8.82479190826416,10.817999839782715,-0.2291589379310608,8.95945930480957,11.317514419555664,-0.3821260929107666,10.476445198059082,12.025148391723633,-0.9817896485328674,11.276664733886719,12.971385955810547,-1.0969911813735962,12.04874324798584,13.784506797790527,-1.2023401260375977,14.512531280517578,16.334680557250977,-1.6998398303985596
sliding_windows,10,1.3133968114852905,1.9631245136260986,0.9277758598327637,3.065354347229004,3.885704755783081,0.7439301609992981,5.654382228851318,6.568027973175049,0.3229508697986603,8.460891723632812,9.365565299987793,-0.33883345127105713,10.932791709899902,11.865788459777832,-0.9322919249534607,13.067065238952637,14.203533172607422,-1.5005981922149658,14.939315795898438,16.086429595947266,-2.0601234436035156,16.83985137939453,18.14899444580078,-2.532111406326294,17.185590744018555,18.764842987060547,-2.8564743995666504,18.687389373779297,20.072938919067383,-4.528134822845459,19.80021858215332,21.305246353149414,-4.630728244781494,20.85993003845215,22.42253875732422,-4.797782897949219,22.366348266601562,24.217884063720703,-4.932399272918701
sliding_windows,8,1.17562997341156,1.7944313287734985,0.939126193523407,2.5655739307403564,3.338108777999878,0.8122632503509521,4.552638053894043,5.507640838623047,0.5278967022895813,6.980741024017334,7.969171047210693,0.03485804423689842,9.247397422790527,10.263507843017578,-0.43283984065055847,11.244601249694824,12.477351188659668,-0.9127498865127563,13.009282112121582,14.222307205200195,-1.3792651891708374,14.82368278503418,16.18901252746582,-1.7919375896453857,15.264079093933105,16.898937225341797,-2.1273815631866455,17.511634826660156,18.736942291259766,-3.8177602291107178,18.597307205200195,19.941768646240234,-3.9366037845611572,19.638948440551758,21.051244735717773,-4.114049911499023,21.50072479248047,23.253232955932617,-4.468417644500732
sliding_windows,4,1.272497296333313,1.9116179943084717,0.9308838844299316,2.751296281814575,3.470440149307251,0.7967126369476318,4.81815767288208,5.588778018951416,0.5078478455543518,7.072537899017334,7.9358415603637695,0.03120560571551323,9.234280586242676,10.133787155151367,-0.41083890199661255,11.198201179504395,12.308334350585938,-0.8725619912147522,12.97002124786377,14.08072566986084,-1.3401280641555786,14.817340850830078,16.087905883789062,-1.7676936388015747,15.256793975830078,16.81058120727539,-2.101022958755493,17.686466217041016,18.81475830078125,-3.85780668258667,18.86973762512207,20.10270118713379,-4.018945693969727,20.005868911743164,21.28573989868164,-4.23122501373291,22.192350387573242,23.79810333251953,-4.728679656982422
sliding_windows,3,1.380476951599121,1.9993308782577515,0.9245173335075378,2.9918124675750732,3.6732900142669678,0.7707663774490356,5.2466044425964355,5.962193965911865,0.43836361169815063,7.5858073234558105,8.406254768371582,-0.08368964493274689,9.782307624816895,10.636667251586914,-0.5524653196334839,11.77729606628418,12.842879295349121,-1.0396177768707275,13.584784507751465,14.639030456542969,-1.53123939037323,15.467358589172363,16.709638595581055,-1.9869741201400757,15.959197998046875,17.489381790161133,-2.3871099948883057,17.521419525146484,18.766876220703125,-3.8353397846221924,18.689136505126953,20.052059173583984,-3.995649814605713,19.803483963012695,21.231401443481445,-4.206921577453613,21.857009887695312,23.51698112487793,-4.593167304992676
sliding_windows,2,1.2178215980529785,1.8686500787734985,0.9338380098342896,2.5333876609802246,3.2779898643493652,0.8186718225479126,4.2112040519714355,5.074908256530762,0.5948154330253601,6.110721111297607,7.108865737915039,0.22204111516475677,7.95253324508667,9.041922569274902,-0.12158799171447754,9.685746192932129,11.00700569152832,-0.49587514996528625,11.256474494934082,12.566815376281738,-0.8644217848777771,12.918684959411621,14.412118911743164,-1.220381259918213,13.288514137268066,15.01809024810791,-1.4716458320617676,15.120626449584961,16.411588668823242,-2.6939685344696045,16.20290184020996,17.60854148864746,-2.852576971054077,17.241058349609375,18.716808319091797,-3.0469119548797607,19.37482452392578,21.107349395751953,-3.5072810649871826
sliding_windows,5,1.3421812057495117,1.9583998918533325,0.927860677242279,2.883178472518921,3.586621046066284,0.7825778126716614,5.11494255065918,5.86957311630249,0.4571899473667145,7.488001823425293,8.32861042022705,-0.06445272266864777,9.697304725646973,10.582517623901367,-0.5375301837921143,11.6800537109375,12.794846534729004,-1.0263690948486328,13.452557563781738,14.571647644042969,-1.5103838443756104,15.285243034362793,16.587604522705078,-1.946392297744751,15.596260070800781,17.202457427978516,-2.2471117973327637,17.124422073364258,18.459510803222656,-3.666673183441162,18.209537506103516,19.6726016998291,-3.7966787815093994,19.244951248168945,20.774456024169922,-3.9737236499786377,21.05198097229004,22.91226577758789,-4.311963081359863
