dataset,trial,mae,rmse,r2
Combined_18M,50,3.8845818042755127,5.138952255249023,0.6885056495666504
Combined_18M,32,3.880861759185791,5.112367153167725,0.6891464591026306
Combined_18M,35,3.9261882305145264,5.187891483306885,0.682043194770813
Combined_18M,34,3.9560725688934326,5.212401866912842,0.6791563630104065
Combined_18M,33,3.905796527862549,5.129396438598633,0.6890704035758972
Combined_18M,20,3.8692328929901123,5.056196689605713,0.6977167129516602
Combined_18M,18,3.9016776084899902,5.1058807373046875,0.6909399628639221
Combined_18M,27,3.8555593490600586,5.019662380218506,0.6999507546424866
Combined_18M,9,3.857170820236206,5.041512966156006,0.6990648508071899
Combined_18M,11,3.9586904048919678,5.0858988761901855,0.6903054714202881
Combined_18M,7,3.8112804889678955,4.945242404937744,0.7072556018829346
Combined_18M,29,3.8320353031158447,5.032190799713135,0.6996381282806396
Combined_18M,16,3.932258367538452,5.113188743591309,0.689659059047699
Combined_18M,42,3.9200353622436523,5.183634281158447,0.682047963142395
Combined_18M,45,3.875685453414917,5.085624694824219,0.6930707693099976
Combined_18M,6,3.8857932090759277,4.927463054656982,0.7091399431228638
Combined_18M,28,3.8844587802886963,5.122385025024414,0.688713014125824
Combined_18M,17,3.925971746444702,5.128416538238525,0.6891306638717651
Combined_18M,1,3.834434747695923,4.791065692901611,0.7198197245597839
Combined_18M,10,3.959428548812866,5.075875282287598,0.6957352757453918
Combined_18M,19,3.9222707748413086,5.099552631378174,0.6912396550178528
Combined_18M,26,3.9187448024749756,5.126132965087891,0.6867296099662781
Combined_18M,8,3.8801820278167725,5.0135698318481445,0.7004244923591614
Combined_18M,21,3.901968240737915,5.1116719245910645,0.6901986002922058
Combined_18M,44,3.9163992404937744,5.173094272613525,0.6835113167762756
Combined_18M,43,3.8939614295959473,5.101727485656738,0.6920685172080994
Combined_18M,38,3.8980712890625,5.124197959899902,0.6907370090484619
Combined_18M,36,3.959754467010498,5.230005741119385,0.6780097484588623
Combined_18M,31,3.861813545227051,5.090740203857422,0.6933653354644775
Combined_18M,30,3.927419900894165,5.1472697257995605,0.6865191459655762
Combined_18M,37,3.9120330810546875,5.091482639312744,0.6927561163902283
Combined_18M,39,3.9291625022888184,5.157872676849365,0.6849101781845093
Combined_18M,46,3.903843402862549,5.162993431091309,0.6856564879417419
Combined_18M,41,3.9266223907470703,5.17727518081665,0.6836656928062439
Combined_18M,48,3.92294979095459,5.182518482208252,0.6829193234443665
Combined_18M,24,3.9169421195983887,5.19405460357666,0.678463876247406
Combined_18M,23,3.881296396255493,5.014371871948242,0.7019208669662476
Combined_18M,4,3.782883882522583,4.8292107582092285,0.7151063084602356
