Run;n_layer;n_units;learning_rate;activation;criterion;decroissant;optimizer;Smoothed;Value;Step
T1-T2_T5/trial_23;3;64;0,0011;ReLU;Huber;0;Adagrad;5,5092;5,5092;6 320
T1-T2_T5/trial_24;4;64;0,0006;ReLU;Huber;0;Adagrad;5,5615;5,5615;9 680
T1-T2_T5/trial_25;3;32;0,0023;ReLU;Huber;0;Adagrad;5,5053;5,5053;2 480
T1-T2_T5/trial_26;4;64;0,0049;ReLU;Huber;1;Adagrad;5,5257;5,5257;4 800
T1-T2_T5/trial_27;4;64;0,006;ReLU;Huber;1;Adagrad;5,4973;5,4973;3 520
T1-T2_T5/trial_28;5;64;0,0055;ReLU;MSE;1;Adam;5,6519;5,6519;580
T1-T2_T5/trial_29;4;64;0,0001;ReLU;MAE;1;Adagrad;26,2667;26,2667;2 000
T1-T2_T5/trial_3;5;512;0,0003;tanh;MAE;0;Adagrad;6,3952;6,3952;8 000
T1-T2_T5/trial_30;4;1 024;0;ReLU;MAE;1;Adagrad;5,6906;5,6906;16 000
T1-T2_T5/trial_31;4;64;0,005;ReLU;Huber;1;Adagrad;5,5192;5,5192;3 520
T1-T2_T5/trial_32;5;64;0,0024;ReLU;Huber;1;Adagrad;5,5503;5,5503;7 280
T1-T2_T5/trial_33;4;64;0,0012;ReLU;Huber;1;Adagrad;5,5847;5,5847;7 040
T1-T2_T5/trial_34;5;32;0,0058;ReLU;MSE;1;Adagrad;28,6346;28,6346;8 000
T1-T2_T5/trial_35;4;256;0,01;tanh;Huber;1;RMSprop;9,9747;9,9747;480
T1-T2_T5/trial_36;4;1 024;0,0018;ReLU;Huber;1;Adagrad;5,518;5,518;1 760
T1-T2_T5/trial_37;3;512;0,0032;ReLU;Huber;1;Adagrad;5,7027;5,7027;1 840
T1-T2_T5/trial_38;3;512;0,0011;ReLU;MSE;1;Adam;5,9951;5,9951;640
T1-T2_T5/trial_39;3;512;0,0046;tanh;MAE;1;RMSprop;9,9991;9,9991;170
T1-T2_T5/trial_4;5;1 024;0;sigmoid;Huber;1;Adam;24,2958;24,2958;8 000
T1-T2_T5/trial_40;3;512;0,0005;ReLU;Huber;1;Adam;5,5435;5,5435;380
T1-T2_T5/trial_41;4;512;0,003;ReLU;Huber;1;Adagrad;5,7952;5,7952;1 440
T1-T2_T5/trial_42;5;64;0,0019;ReLU;Huber;1;Adagrad;5,5778;5,5778;6 080
T1-T2_T5/trial_43;3;512;0,0066;ReLU;Huber;1;Adagrad;5,5384;5,5384;1 360
T1-T2_T5/trial_44;4;64;0,0042;ReLU;Huber;1;Adagrad;5,5253;5,5253;1 240
T1-T2_T5/trial_45;5;1 024;0,0015;tanh;Huber;0;RMSprop;9,8493;9,8493;560
T1-T2_T5/trial_46;3;32;0,0004;ReLU;MSE;0;Adagrad;5,7702;5,7702;16 000
T1-T2_T5/trial_47;4;256;0,007;ReLU;Huber;1;Adagrad;5,9066;5,9066;310
T1-T2_T5/trial_48;3;64;0;ReLU;MAE;0;Adagrad;27,5359;27,5359;16 000
T1-T2_T5/trial_49;2;512;0,0002;ReLU;Huber;1;Adam;5,5256;5,5256;1 680
T1-T2_T5/trial_5;1;128;0,0003;ReLU;MSE;1;Adam;5,7495;5,7495;960
T1-T2_T5/trial_6;4;512;0,0019;sigmoid;Huber;0;RMSprop;10,0284;10,0284;90
T1-T2_T5/trial_7;3;32;0,0008;tanh;MAE;0;Adam;6,7462;6,7462;1 710
T1-T2_T5/trial_8;3;256;0;tanh;MSE;1;Adam;14,9696;14,9696;8 000
T1-T2_T5/trial_9;1;128;0,0014;sigmoid;Huber;0;RMSprop;6,6183;6,6183;750
T2-T3-T4_T5/trial_0;3;32;0,0023;tanh;Huber;1;Adagrad;25,8466;25,8466;4 000
T2-T3-T4_T5/trial_1;5;1 024;0;sigmoid;MSE;0;Adam;9,6731;9,6731;3 040
