fold,mae_1,rmse_1,r2_1,mae_2,rmse_2,r2_2,mae_3,rmse_3,r2_3,mae_4,rmse_4,r2_4,mae_5,rmse_5,r2_5,mae_6,rmse_6,r2_6,mae_7,rmse_7,r2_7,mae_8,rmse_8,r2_8,mae_9,rmse_9,r2_9,mae_10,rmse_10,r2_10,mae_11,rmse_11,r2_11,mae_12,rmse_12,r2_12,mae_13,rmse_13,r2_13
9,1.236423134803772,1.82880699634552,0.937810480594635,2.018709659576416,2.635791063308716,0.8856540322303772,2.4920856952667236,3.0881874561309814,0.8586205244064331,3.022125005722046,3.813149929046631,0.7817142605781555,3.496631145477295,4.3155517578125,0.750603199005127,4.284164905548096,5.393716812133789,0.658440113067627,4.747544288635254,5.978868007659912,0.6003890037536621,5.634274959564209,7.27868127822876,0.4646804630756378,5.962616920471191,7.555356502532959,0.42221224308013916,6.436453342437744,8.043081283569336,0.1770889163017273,7.082404136657715,8.808337211608887,0.11967134475708008,7.9220404624938965,9.526117324829102,0.032744187861680984,12.530343055725098,14.095742225646973,-1.6400234699249268
7,1.2341970205307007,1.850620150566101,0.9364169836044312,2.0430545806884766,2.6950607299804688,0.8801359534263611,2.656501293182373,3.2850310802459717,0.8389639258384705,3.3083159923553467,4.151224136352539,0.7398310303688049,3.8375637531280518,4.798071384429932,0.6910240650177002,4.650392532348633,5.927583694458008,0.5879166126251221,5.2036895751953125,6.64800500869751,0.5079377889633179,6.25164270401001,7.980349540710449,0.3574071228504181,6.160092353820801,7.832845687866211,0.39443308115005493,6.6724324226379395,8.61808967590332,0.07178399711847305,7.309083461761475,9.302115440368652,0.03134166821837425,8.093339920043945,9.926864624023438,-0.038143448531627655,13.12134838104248,14.515040397644043,-1.7994226217269897
6,1.2242398262023926,1.8519970178604126,0.9361356496810913,2.072007179260254,2.736949920654297,0.8764944076538086,2.7125933170318604,3.402050495147705,0.8260691165924072,3.4262311458587646,4.30672550201416,0.718443751335144,4.0197038650512695,5.100958347320557,0.6503196954727173,4.929717063903809,6.325299263000488,0.5287782549858093,5.724987030029297,7.17142391204834,0.42626523971557617,6.896356582641602,8.620940208435059,0.24595406651496887,6.403927803039551,8.15653133392334,0.3422451913356781,6.7824506759643555,8.767674446105957,0.05141359940171242,7.479526519775391,9.55811882019043,-0.01223640888929367,8.259394645690918,10.272530555725098,-0.1030653715133667,13.549860000610352,14.759527206420898,-1.894521713256836
1,1.2073609828948975,1.8132435083389282,0.938579261302948,2.0211594104766846,2.712812662124634,0.8791916966438293,2.667250871658325,3.3460726737976074,0.8329628705978394,3.3732709884643555,4.216058731079102,0.7327169179916382,3.9418997764587402,4.949849605560303,0.6735722422599792,4.851245403289795,6.132434368133545,0.5573241114616394,5.501984596252441,6.898229122161865,0.46887102723121643,6.564598560333252,8.378584861755371,0.29132917523384094,6.60679292678833,8.500218391418457,0.28692498803138733,6.6510515213012695,8.421656608581543,0.10286477953195572,7.338579177856445,9.24534797668457,0.03242439031600952,8.206717491149902,9.989620208740234,-0.06135424226522446,13.9235200881958,15.72560977935791,-2.285844087600708
1,5.515167713165283,6.783868312835693,-0.03375852108001709,5.680931568145752,7.107336044311523,-0.06000936031341553,5.981588363647461,7.453607082366943,-0.09271993488073349,6.220985412597656,7.715216159820557,-0.1294301450252533,6.638057231903076,8.180899620056152,-0.1893029659986496,6.966035842895508,8.570389747619629,-0.2490556687116623,7.292990207672119,8.910161972045898,-0.317629337310791,7.731762886047363,9.396656036376953,-0.3904596269130707,8.14808177947998,9.894552230834961,-0.4798967242240906,7.731762886047363,9.396656036376953,-0.3904595673084259,8.14808177947998,9.894552230834961,-0.47989675402641296,8.14808177947998,9.894552230834961,-0.47989675402641296,8.065444946289062,9.611265182495117,-0.39525049924850464
10,1.2177389860153198,1.8553249835968018,0.9359608292579651,2.0072860717773438,2.7545218467712402,0.8740231990814209,2.5602099895477295,3.3256802558898926,0.8332175016403198,3.2670187950134277,4.185027122497559,0.7406768202781677,3.7539920806884766,4.877325057983398,0.6844391226768494,4.595287799835205,6.032221794128418,0.5762980580329895,5.175903797149658,6.802787780761719,0.4877646565437317,6.331569194793701,8.184431076049805,0.32537880539894104,6.163469314575195,7.896589279174805,0.3849473297595978,6.538525104522705,8.345407485961914,0.1336725950241089,7.262876987457275,9.074777603149414,0.07621191442012787,8.061752319335938,9.727879524230957,-0.0005925341392867267,13.636701583862305,14.660029411315918,-1.8556277751922607
8,1.234203577041626,1.851237416267395,0.9361879825592041,1.976662516593933,2.620147705078125,0.8865596652030945,2.452211380004883,3.1062097549438477,0.8557786345481873,3.0208728313446045,3.865100383758545,0.7747892141342163,3.4422268867492676,4.415411949157715,0.738142192363739,4.189505100250244,5.483186721801758,0.6453813910484314,4.69915246963501,6.1126556396484375,0.5817592144012451,5.703907489776611,7.426033973693848,0.44023841619491577,5.517314434051514,7.222920894622803,0.48286303877830505,5.732922077178955,7.590739727020264,0.2875470817089081,6.281887054443359,8.23714542388916,0.2465265393257141,7.001770973205566,8.855386734008789,0.17851325869560242,11.927902221679688,13.196252822875977,-1.3138389587402344
4,1.2302159070968628,1.8212791681289673,0.9383955597877502,1.9357736110687256,2.5369434356689453,0.8929265737533569,2.3423311710357666,2.966700553894043,0.8686527609825134,2.901707649230957,3.65620756149292,0.8026970028877258,3.2651870250701904,4.101741790771484,0.7774763703346252,3.9669992923736572,5.088409900665283,0.6997851729393005,4.296665191650391,5.555394649505615,0.6580740213394165,5.158019065856934,6.761804103851318,0.5403643250465393,5.500757694244385,6.920881748199463,0.5220966339111328,5.490965843200684,7.212491512298584,0.35287579894065857,6.068930625915527,7.8435845375061035,0.31231045722961426,6.72844123840332,8.501914978027344,0.23797127604484558,11.164793968200684,12.610276222229004,-1.112910509109497
3,1.2695331573486328,1.7928706407546997,0.9402438998222351,1.9130518436431885,2.475592613220215,0.8967819809913635,2.250889539718628,2.8204071521759033,0.8813758492469788,2.671008586883545,3.379558563232422,0.8380449414253235,3.011211395263672,3.7131094932556152,0.824085533618927,3.6107683181762695,4.585711479187012,0.7619367837905884,3.9081838130950928,4.885016441345215,0.7403756976127625,4.676136493682861,5.986904621124268,0.6464524865150452,4.820474147796631,6.170511722564697,0.6121020913124084,4.726591110229492,6.555354595184326,0.45416560769081116,5.196791172027588,7.0283074378967285,0.4400111734867096,5.716933250427246,7.478972434997559,0.4053651690483093,10.584267616271973,11.917457580566406,-0.8871183395385742
2,1.2207094430923462,1.750784158706665,0.9428749680519104,1.8867847919464111,2.4693751335144043,0.8972815871238708,2.2323577404022217,2.7921464443206787,0.883492112159729,2.669088840484619,3.3501460552215576,0.8404142260551453,3.0366103649139404,3.62815523147583,0.8315041661262512,3.609041213989258,4.508929252624512,0.7691446542739868,3.8356480598449707,4.77519416809082,0.7516008615493774,4.600461959838867,5.8311614990234375,0.6641659140586853,4.953240394592285,6.27797269821167,0.5989097952842712,4.793591022491455,6.255782127380371,0.5009068250656128,4.949306964874268,6.621133327484131,0.5028954744338989,5.284024238586426,7.0458550453186035,0.4701003432273865,9.532760620117188,10.787226676940918,-0.5461498498916626
