,month,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std
0,3,2.819883411580866,1.062412205755932,3.5317239544608374,1.3174986639530126,0.766159900887446,0.28553514423364607
1,6,4.559032505208796,0.916207615596536,5.78427826274525,1.0995870494464353,0.5607011656869542,0.2797825671957931
2,9,6.041960846294057,0.9055243214444225,7.654972206462514,1.045069084779323,0.3598025983030146,0.29660142873686773
3,12,7.388424136421897,1.061176901258681,9.149638566103848,1.0677663615692186,0.06210165498884055,0.2608304512115915
