dataset,trial,n_layer,n_units,learning_rate,decroissant,activation,optimizer,criterion,mae,rmse,r2
MLP_alsfrs-r_T1-T2-T3_T4,trial_0,3.0,512.0,1e-06,0.0,ReLU,Adam,Huber,2.196441411972046,3.0280258655548096,0.8627756237983704
MLP_alsfrs-r_T2-T3-T4_T5,trial_5,2.0,512.0,0.0005,1.0,ReLU,Adam,Huber,2.3441314697265625,3.0883734226226807,0.8681553602218628
MLP_alsfrs-r_T2-T3-T4_T5,trial_2,2.0,512.0,1e-05,1.0,ReLU,Adam,Huber,2.363962173461914,3.0917372703552246,0.8682798743247986
MLP_alsfrs-r_T2-T3-T4_T5,trial_3,2.0,512.0,5e-05,1.0,ReLU,Adam,Huber,2.3546879291534424,3.023233652114868,0.8738343119621277
MLP_alsfrs-r_T2-T3-T4_T5,trial_4,2.0,512.0,0.0001,1.0,ReLU,Adam,Huber,2.5804173946380615,3.1453511714935303,0.868606686592102
MLP_alsfrs-r_T2-T3-T4_T5,trial_1,2.0,512.0,5e-06,1.0,ReLU,Adam,Huber,2.3829915523529053,3.122479200363159,0.8668750524520874
MLP_alsfrs-r_T2-T3-T4_T5,trial_6,2.0,512.0,0.001,1.0,ReLU,Adam,Huber,2.6665921211242676,3.4574193954467773,0.8296168446540833
MLP_alsfrs-r_T2-T3-T4_T5,trial_8,2.0,512.0,0.01,1.0,ReLU,Adam,Huber,3.785473346710205,4.3358612060546875,0.7583433985710144
MLP_alsfrs-r_T2-T3-T4_T5,trial_9,2.0,512.0,0.05,1.0,ReLU,Adam,Huber,3.437560558319092,3.9669017791748047,0.7985295057296753
MLP_alsfrs-r_T2-T3-T4_T5,trial_7,2.0,512.0,0.005,1.0,ReLU,Adam,Huber,2.9181478023529053,3.47782564163208,0.8437778949737549
MLP_alsfrs-r_T2-T3-T4_T5,trial_0,2.0,512.0,1e-06,1.0,ReLU,Adam,Huber,2.502302408218384,3.267019510269165,0.8582703471183777
MLP_alsfrs-r_T1-T2_T3,trial_5,2.0,512.0,0.0005,0.0,ReLU,Adam,Huber,2.361640691757202,3.233226776123047,0.8214553594589233
MLP_alsfrs-r_T1-T2_T3,trial_2,2.0,512.0,1e-05,0.0,ReLU,Adam,Huber,2.3460166454315186,3.2562081813812256,0.8192881941795349
MLP_alsfrs-r_T1-T2_T3,trial_3,2.0,512.0,5e-05,0.0,ReLU,Adam,Huber,2.4233999252319336,3.25620174407959,0.8174228668212891
MLP_alsfrs-r_T1-T2_T3,trial_4,2.0,512.0,0.0001,0.0,ReLU,Adam,Huber,2.3501834869384766,3.257413625717163,0.8194563984870911
MLP_alsfrs-r_T1-T2_T3,trial_1,2.0,512.0,5e-06,0.0,ReLU,Adam,Huber,2.3952529430389404,3.2725229263305664,0.8163224458694458
MLP_alsfrs-r_T1-T2_T3,trial_6,2.0,512.0,0.001,0.0,ReLU,Adam,Huber,2.598264217376709,3.3676156997680664,0.8041174411773682
MLP_alsfrs-r_T1-T2_T3,trial_8,2.0,512.0,0.01,0.0,ReLU,Adam,Huber,2.590691089630127,3.572937488555908,0.7838643789291382
MLP_alsfrs-r_T1-T2_T3,trial_9,2.0,512.0,0.05,0.0,ReLU,Adam,Huber,6.773688793182373,8.304291725158691,-0.10437484830617905
MLP_alsfrs-r_T1-T2_T3,trial_7,2.0,512.0,0.005,0.0,ReLU,Adam,Huber,2.7873311042785645,3.51263165473938,0.7837574481964111
MLP_alsfrs-r_T1-T2_T3,trial_0,2.0,512.0,1e-06,0.0,ReLU,Adam,Huber,2.413024425506592,3.31209135055542,0.8132675290107727
MLP_alsfrs-r_T3-T4_T5,trial_5,2.0,512.0,0.0005,1.0,ReLU,Adam,Huber,2.846931219100952,3.882382869720459,0.7932770252227783
MLP_alsfrs-r_T3-T4_T5,trial_2,2.0,512.0,1e-05,1.0,ReLU,Adam,Huber,2.5253381729125977,3.5119950771331787,0.8324176669120789
MLP_alsfrs-r_T3-T4_T5,trial_3,2.0,512.0,5e-05,1.0,ReLU,Adam,Huber,2.735074758529663,3.4316492080688477,0.8463605046272278
MLP_alsfrs-r_T3-T4_T5,trial_4,2.0,512.0,0.0001,1.0,ReLU,Adam,Huber,3.0022239685058594,4.047479152679443,0.7704945206642151
MLP_alsfrs-r_T3-T4_T5,trial_1,2.0,512.0,5e-06,1.0,ReLU,Adam,Huber,2.516827344894409,3.476226568222046,0.8378267288208008
MLP_alsfrs-r_T3-T4_T5,trial_6,2.0,512.0,0.001,1.0,ReLU,Adam,Huber,2.9980971813201904,4.0494585037231445,0.7725064754486084
MLP_alsfrs-r_T3-T4_T5,trial_8,2.0,512.0,0.01,1.0,ReLU,Adam,Huber,2.519120931625366,3.413069725036621,0.846586287021637
MLP_alsfrs-r_T3-T4_T5,trial_9,2.0,512.0,0.05,1.0,ReLU,Adam,Huber,4.584576606750488,5.553246974945068,0.5601872801780701
MLP_alsfrs-r_T3-T4_T5,trial_7,2.0,512.0,0.005,1.0,ReLU,Adam,Huber,3.073402166366577,4.124308109283447,0.7639700174331665
MLP_alsfrs-r_T3-T4_T5,trial_0,2.0,512.0,1e-06,1.0,ReLU,Adam,Huber,2.623122215270996,3.629667043685913,0.8218189477920532
MLP_alsfrs-r_T1_T2,trial_5,3.0,512.0,0.0005,0.0,ReLU,Adam,Huber,2.4837734699249268,3.284273624420166,0.7751608490943909
MLP_alsfrs-r_T1_T2,trial_2,3.0,512.0,1e-05,0.0,ReLU,Adam,Huber,2.403981924057007,3.393813133239746,0.7587276101112366
MLP_alsfrs-r_T1_T2,trial_3,3.0,512.0,5e-05,0.0,ReLU,Adam,Huber,2.362128734588623,3.3102946281433105,0.7710844874382019
MLP_alsfrs-r_T1_T2,trial_4,3.0,512.0,0.0001,0.0,ReLU,Adam,Huber,2.3663108348846436,3.308624505996704,0.7707582712173462
MLP_alsfrs-r_T1_T2,trial_1,3.0,512.0,5e-06,0.0,ReLU,Adam,Huber,2.3888704776763916,3.3426029682159424,0.7664059400558472
MLP_alsfrs-r_T1_T2,trial_6,3.0,512.0,0.001,0.0,ReLU,Adam,Huber,4.124716281890869,4.6953229904174805,0.5241526961326599
MLP_alsfrs-r_T1_T2,trial_8,3.0,512.0,0.01,0.0,ReLU,Adam,Huber,2.9957103729248047,3.6362223625183105,0.7230613827705383
